M,experiment_id,p_covariables,n_variables_diag,rhat_max,ess_min,geweke_max,n_no_converge,converge,ocupacion_media,ocupacion_max,N_trunc,toca_truncamiento,pip_sd_max,contrato_ok,pip_media_activas
1,escenario_105_2_r01_m01,4,8,1.349874644774832,11.21425696495284,10.460489150289229,3,False,11.13525,30,30,True,0.512652416360247,True,0.39393750000000005
2,escenario_105_2_r01_m02,4,16,1.349874644774832,9.240111687005108,10.460489150289229,5,False,11.309249999999999,30,30,True,,True,0.37475
3,escenario_105_2_r01_m03,4,24,1.349874644774832,9.240111687005108,10.460489150289229,7,False,10.978666666666667,30,30,True,,True,0.2880416666666667
4,escenario_105_2_r01_m04,4,32,1.349874644774832,9.240111687005108,10.460489150289229,8,False,11.026124999999999,30,30,True,,True,0.2794375
