M,metrica,bloque,modelo,razon_vs_mejor,razon_vs_FAR
1,1. MAE  (L^1),train,FAR,1.361295720862001,1.0
1,1. MAE  (L^1),train,RF,1.1689226882816262,0.8607777639344171
1,1. MAE  (L^1),train,GBT,1.0,0.7388459832402643
1,1. MAE  (L^1),train,PSBPM-FD,1.3711376489025808,1.00786115502567
1,1. MAE  (L^1),test,FAR,1.025274643641048,1.0
1,1. MAE  (L^1),test,RF,1.0242031079125906,1.0004307174323552
1,1. MAE  (L^1),test,GBT,1.0607432186060832,1.037562181814248
1,1. MAE  (L^1),test,PSBPM-FD,1.0277123122768614,1.0027282506108879
1,2. RMSE (L^2),train,FAR,1.4029817768534003,1.0
1,2. RMSE (L^2),train,RF,1.190330718401196,0.8509690092415122
1,2. RMSE (L^2),train,GBT,1.0,0.7181327329756657
1,2. RMSE (L^2),train,PSBPM-FD,1.413575984308951,1.008305264765343
1,2. RMSE (L^2),test,FAR,1.0200397394839462,1.0
1,2. RMSE (L^2),test,RF,1.026021691620226,1.0070607574817423
1,2. RMSE (L^2),test,GBT,1.0880495339048555,1.0689250089076214
1,2. RMSE (L^2),test,PSBPM-FD,1.0254543935940759,1.0055584228894756
1,3. E_max promedio por curva,train,FAR,1.3411943497329133,1.0
1,3. E_max promedio por curva,train,RF,1.160351212230561,0.8667348875546943
1,3. E_max promedio por curva,train,GBT,1.0,0.749696327981385
1,3. E_max promedio por curva,train,PSBPM-FD,1.346869440217016,1.0046696577462926
1,3. E_max promedio por curva,test,FAR,1.0197762006502151,1.0
1,3. E_max promedio por curva,test,RF,1.0252429927641282,1.0062810898266115
1,3. E_max promedio por curva,test,GBT,1.048430233702837,1.0300509916252711
1,3. E_max promedio por curva,test,PSBPM-FD,1.026414781001823,1.0067125264723848
1,4. E_max peor de la ventana,train,FAR,1.6218051278253984,1.0
1,4. E_max peor de la ventana,train,RF,1.3062044716991248,0.8136347136480804
1,4. E_max peor de la ventana,train,GBT,1.0002612014371024,0.6403449317812636
1,4. E_max peor de la ventana,train,PSBPM-FD,1.6073292685907368,0.9938062618316743
1,4. E_max peor de la ventana,test,FAR,1.0477405938374915,1.0
1,4. E_max peor de la ventana,test,RF,1.0650781457792993,1.0240609264312301
