modelo,MISE_test,MISE_train,salto
(truncamiento FPCA),0.27911480907689756,0.2109119185280737,1.3233714387731277
FAR1,3.197076649983455,2.686823687059792,1.189909358541511
VAR,3.2020697695564957,2.6867609590189434,1.191795555465312
media,3.20916438434884,2.689334635325646,1.1932930704104248
PSBPM-FD,3.248207252562113,2.6647133807592267,1.218970593991853
RF,3.8098766935788144,2.124227921482545,1.793534796830944
GBT,4.170321358938866,1.690938772867887,2.4662757906165136
persistencia,5.468924671104775,4.994120511382071,1.0950726276309475
