bloque,modelo,RMSE_scores,R2_scores,MISE,RMSE_func,MISE_rel_PSBP
train,PSBPM-FD,0.9946193491974858,0.0089212959497291,2.567560875399756,1.6023610315405687,1.0
train,VAR,0.9988812479852843,0.00040964434803481,2.5935013460850604,1.610435141843676,1.0101031570210641
train,FAR1,0.998890781625833,0.00039056343998211673,2.5935396523110716,1.6104470349288336,1.0101180763269229
train,RF,0.8804319746798855,0.2234204501631163,2.062870397235144,1.4362696116102798,0.8034358277538272
train,GBT,0.7778270044770821,0.39387754922012586,1.656392697319483,1.2870092063848972,0.6451230477881429
train,media,0.9990955762344894,-1.936247512013267e-05,2.594440715443247,1.6107267662279803,1.0104690176194189
train,persistencia,1.4001991550990105,-0.9641468707694518,4.892093429013516,2.2118077287624973,1.9053466174397296
train,(truncamiento FPCA),,,0.2154160351771933,,0.08389909553503931
test,PSBPM-FD,1.1152148233329835,-0.0491873959068409,3.230493609483242,1.797357396146699,1.0
test,VAR,1.106797001947686,-0.03340830166111375,3.1780866686379046,1.7827188978181345,0.9837774200538596
test,FAR1,1.1059928775705141,-0.031907236994072496,3.1738340593692844,1.781525767248199,0.982461023929089
test,RF,1.1970465928012344,-0.20881017668625645,3.6669650182826774,1.9149321184529433,1.135109819600991
test,GBT,1.259990457324893,-0.33927730602339246,4.033479050049556,2.008352322190894,1.2485643179138688
test,media,1.1080084059399484,-0.03567169781583024,3.184461346140699,1.7845059109290444,0.9857507028624314
test,persistencia,1.485742901864993,-0.8621871525929583,5.520349755176209,2.349542456559619,1.7088254683343138
test,(truncamiento FPCA),,,0.26954010399078165,,0.0834361978613844
