t,signo,p_signo_pos,z_lag,ambiguedad,ambiguo,norma_arrastre,bimodal,nivel_curva,bloque
1,-1,0.2931114390333377,-0.13607942165935302,0.2931114390333377,1,,0,-1.9239421853962626,train
2,-1,0.17382811097917755,-0.23478628938009083,0.17382811097917755,0,1.7090974751519106,0,2.6231704193147127,train
3,-1,0.001277575176091531,-0.7541831694331868,0.0012775751760915055,0,2.342207352976689,0,-1.6379366962481194,train
4,-1,0.6799829935001984,0.11691281094335539,0.3200170064998016,1,1.4295613622175476,1,0.8161801281680908,train
5,-1,0.9516102344957251,0.4151677621659636,0.04838976550427487,0,0.7452668934333713,0,0.6610057923087898,train
6,-1,0.09662121180573602,-0.3252617090202209,0.09662121180573602,0,0.6061587361031667,0,-0.6095929727805608,train
7,1,0.9905336623686658,0.5867134831455825,0.009466337631334198,0,0.5599687057775604,0,-0.40010581370726234,train
8,1,0.8935896024296144,0.3114615973027214,0.10641039757038562,0,0.34663345202164153,0,-1.2091575186810584,train
9,1,0.992529829145756,0.6084554906772793,0.0074701708542439516,0,1.0720614354913396,0,0.10187947212138014,train
10,1,0.5296599326468009,0.01860376222706145,0.4703400673531991,1,0.12430835578676809,0,-0.4531377091990073,train
11,-1,0.00841182602041495,-0.5976348057201676,0.008411826020414959,0,0.4131922154490555,0,-0.6066967506392354,train
12,1,0.9086567743781657,0.3331322250632431,0.09134322562183428,0,0.5382732607238764,0,-0.15134316424849553,train
13,-1,0.396459133474924,-0.06563074630616199,0.396459133474924,1,0.1100867405850617,0,0.7005276339851652,train
14,-1,0.1282449940775292,-0.2836815905680108,0.1282449940775292,0,0.6135946082302107,0,-0.7933473237102212,train
15,-1,0.02680163719529085,-0.4825071899171932,0.02680163719529083,0,0.7130228892046351,0,0.9080415611256188,train
16,1,0.017505661312180704,-0.5270568548222095,0.017505661312180676,0,0.8230801664065175,0,0.8501649348052963,train
17,1,0.42486716408283765,-0.04736435386047601,0.42486716408283765,1,0.7609933058034751,0,0.7287034372334795,train
18,-1,0.3202251898567047,-0.11676729637857378,0.3202251898567047,1,0.6442257250878274,0,-1.2098462018652252,train
19,1,0.4693800829465501,-0.01920706595945661,0.4693800829465501,1,1.0906081274240371,1,-1.6375689085334701,train
20,1,0.8996104574401786,0.31983376947519215,0.10038954255982135,0,1.4419963909084157,0,-0.17076208988499073,train
21,-1,0.07542092253948153,-0.35914106493670617,0.07542092253948152,0,0.16352009281631208,0,0.8495602576636769,train
22,-1,0.885351786325304,0.30054330197073115,0.11464821367469602,0,0.7258548240648354,0,-1.8246103806850802,train
23,-1,0.4412444602959965,-0.036953702643596896,0.4412444602959965,1,1.6173256333625403,1,1.9965459370653973,train
24,1,0.9374813902014622,0.38349231074679707,0.06251860979853785,0,1.7573009292166222,0,1.3476880816254175,train
25,-1,0.7794328804812078,0.19256982231641512,0.22056711951879215,0,1.2039260799747995,0,0.5892174576948269,train
26,1,0.9983129795116429,0.732857798909924,0.001687020488357116,0,0.5413486178466854,0,0.1640305161897078,train
27,1,0.88562845723358,0.3009007331120245,0.11437154276642003,0,0.1754107029942161,0,-0.09711071858492103,train
28,-1,0.07523883548249627,-0.3594615733448248,0.07523883548249627,0,0.11637241046973722,0,1.7730822869843819,train
29,1,0.6453529271146795,0.09320106038803301,0.3546470728853205,1,1.5852138579195674,1,0.6537516833416419,train
