t,regimen,p_regimen_0,z_lag,ambiguedad,ambiguo,b_t,sep_dinamica,sep_tendencia,separacion,sep_en_sd,bimodal,nivel_curva,bloque
1,0,0.6701205266719057,-0.11006149998166252,0.3298794733280943,1,0.0,,0.0,,,0,0.4346481111322881,train
2,0,0.8814130764274816,-0.29552007068708885,0.11858692357251843,0,0.015037593984962405,0.6085063804079387,0.011278195488721804,0.6197845758966605,0.6197845758966605,0,1.2148855029543557,train
3,0,0.9998324596515485,-0.8966377222097096,0.00016754034845145593,0,0.03007518796992481,1.6447498695810443,0.022556390977443608,1.6673062605584879,1.6673062605584879,0,1.4582256208589885,train
4,0,0.8781175588178549,-0.29140699978783025,0.12188244118214508,0,0.045112781954887216,1.8847076337755848,0.03383458646616541,1.9185422202417501,1.9185422202417501,0,0.3483169022565394,train
5,1,0.1012043421354436,0.3186797747595172,0.1012043421354436,0,0.06015037593984962,0.507955567451847,0.045112781954887216,0.5530683494067342,0.5530683494067342,0,1.1954809025375228,train
6,0,0.9242779226020454,-0.35861226600150276,0.07572207739795456,0,0.07518796992481203,1.5172589358781323,0.05639097744360902,1.5736499133217414,1.5736499133217414,0,0.7985543173775108,train
7,1,0.03900616495698255,0.4405843182425595,0.03900616495698256,0,0.09022556390977443,0.9481945163919612,0.06766917293233082,1.015863689324292,1.015863689324292,0,-0.2727936221864792,train
8,0,0.36337776778628056,0.0873611565103203,0.36337776778628056,1,0.10526315789473684,0.3441119152496593,0.07894736842105263,0.4230592836707119,0.4230592836707119,0,-0.9315530256611282,train
9,1,0.009363753488358766,0.5877277780705292,0.009363753488358773,0,0.12030075187969924,1.3356954023220426,0.09022556390977443,1.425920966231817,1.425920966231817,0,1.8103996709515646,train
10,0,0.8725285330067882,-0.28460632537496416,0.12747146699321177,0,0.13533834586466165,2.3311358463745626,0.10150375939849623,2.432639605773059,2.432639605773059,0,0.6884970418241,train
11,0,0.9971796804098898,-0.6919928696056399,0.0028203195901101985,0,0.15037593984962405,0.868461097952343,0.11278195488721804,0.981243052839561,0.981243052839561,0,-0.49582827536968743,train
12,0,0.44224819760614953,0.03631791315365742,0.44224819760614953,1,0.16541353383458646,0.7767562690227888,0.12406015037593984,0.9008164193987287,0.9008164193987287,0,0.16365220063149197,train
13,0,0.668233989116926,-0.10876047244758881,0.331766010883074,1,0.18045112781954886,0.10317419522550028,0.13533834586466165,0.23851254109016193,0.23851254109016193,0,0.7969150970558182,train
14,0,0.9010074461025859,-0.32182832635717473,0.09899255389741413,0,0.19548872180451127,0.7768899750532937,0.14661654135338345,0.9235065164066771,0.9235065164066771,0,0.37460190561064854,train
15,0,0.9944641807634927,-0.6351073968405583,0.005535819236507256,0,0.21052631578947367,0.5022366693358737,0.15789473684210525,0.660131406177979,0.660131406177979,0,0.5254409023544903,train
16,0,0.999388468578575,-0.8083616002035613,0.0006115314214250045,0,0.22556390977443608,0.7084366960312016,0.16917293233082706,0.8776096283620287,0.8776096283620287,0,0.4684894133726318,train
17,0,0.8067405246954511,-0.216486876042152,0.1932594753045489,0,0.24060150375939848,0.361040357256585,0.18045112781954886,0.5414914850761339,0.5414914850761339,0,0.37061778047676647,train
18,0,0.7584325542827733,-0.17531735602816054,0.24156744571722666,0,0.2556390977443609,0.21039896762928215,0.19172932330827067,0.4021282909375528,0.4021282909375528,0,-0.23664203305447462,train
