componente,n_activas,VP,FP,FN,VN,sensibilidad,especificidad,exactitud,auc,pip_media_activas,pip_media_inactivas
FPC 1,4,0,0,4,0,0.0,0.0,0.0,,0.1031875,
FPC 2,4,0,0,4,0,0.0,0.0,0.0,,0.106625,
