M,FPC,cadena,media,max,p99,N_trunc,toca_truncamiento
1,1,1,6.564,17,14.0,30,False
1,1,2,6.282,22,14.0,30,False
2,1,1,6.564,17,14.0,30,False
2,1,2,6.282,22,14.0,30,False
2,2,1,11.521,30,19.0,30,True
2,2,2,10.43,24,18.0,30,False
3,1,1,6.564,17,14.0,30,False
3,1,2,6.282,22,14.0,30,False
3,2,1,11.521,30,19.0,30,True
3,2,2,10.43,24,18.0,30,False
3,3,1,10.503,30,18.0,30,True
3,3,2,11.242,26,19.0,30,False
4,1,1,6.564,17,14.0,30,False
4,1,2,6.282,22,14.0,30,False
4,2,1,11.521,30,19.0,30,True
4,2,2,10.43,24,18.0,30,False
4,3,1,10.503,30,18.0,30,True
4,3,2,11.242,26,19.0,30,False
4,4,1,10.6395,27,19.0,30,False
4,4,2,10.204,26,18.0,30,False
5,1,1,6.564,17,14.0,30,False
5,1,2,6.282,22,14.0,30,False
5,2,1,11.521,30,19.0,30,True
5,2,2,10.43,24,18.0,30,False
5,3,1,10.503,30,18.0,30,True
5,3,2,11.242,26,19.0,30,False
5,4,1,10.6395,27,19.0,30,False
5,4,2,10.204,26,18.0,30,False
5,5,1,11.2835,27,19.0,30,False
5,5,2,11.1785,23,18.0,30,False
6,1,1,6.564,17,14.0,30,False
6,1,2,6.282,22,14.0,30,False
6,2,1,11.521,30,19.0,30,True
6,2,2,10.43,24,18.0,30,False
6,3,1,10.503,30,18.0,30,True
6,3,2,11.242,26,19.0,30,False
6,4,1,10.6395,27,19.0,30,False
6,4,2,10.204,26,18.0,30,False
6,5,1,11.2835,27,19.0,30,False
6,5,2,11.1785,23,18.0,30,False
6,6,1,11.106,28,18.00999999999999,30,False
6,6,2,11.0675,28,19.0,30,False
7,1,1,6.564,17,14.0,30,False
7,1,2,6.282,22,14.0,30,False
7,2,1,11.521,30,19.0,30,True
7,2,2,10.43,24,18.0,30,False
7,3,1,10.503,30,18.0,30,True
7,3,2,11.242,26,19.0,30,False
7,4,1,10.6395,27,19.0,30,False
7,4,2,10.204,26,18.0,30,False
7,5,1,11.2835,27,19.0,30,False
7,5,2,11.1785,23,18.0,30,False
7,6,1,11.106,28,18.00999999999999,30,False
7,6,2,11.0675,28,19.0,30,False
7,7,1,11.2165,30,18.0,30,True
7,7,2,6.9185,22,16.0,30,False
8,1,1,6.564,17,14.0,30,False
8,1,2,6.282,22,14.0,30,False
8,2,1,11.521,30,19.0,30,True
8,2,2,10.43,24,18.0,30,False
8,3,1,10.503,30,18.0,30,True
8,3,2,11.242,26,19.0,30,False
8,4,1,10.6395,27,19.0,30,False
8,4,2,10.204,26,18.0,30,False
8,5,1,11.2835,27,19.0,30,False
8,5,2,11.1785,23,18.0,30,False
8,6,1,11.106,28,18.00999999999999,30,False
8,6,2,11.0675,28,19.0,30,False
8,7,1,11.2165,30,18.0,30,True
8,7,2,6.9185,22,16.0,30,False
8,8,1,10.2745,25,17.0,30,False
8,8,2,8.859,28,16.0,30,False
