-1.529110985047762439e+00,-2.482051791567340404e-01,-1.514293098290350192e+00,-7.573095698169685086e-01,-3.532325204994482881e+00
-1.555716664489564138e+00,-2.691472976773719439e-01,-1.526142189188934628e+00,-7.572529105667236138e-01,-2.838590224822490793e+00
-1.577178663209263476e+00,-2.904212758621880774e-01,-1.527779783084851184e+00,-7.468918639243516955e-01,-2.197709588645192280e+00
-1.593496981206860452e+00,-3.120271137111822468e-01,-1.519205879978099194e+00,-7.262264298898525317e-01,-1.609683296462586899e+00
-1.604671618482355067e+00,-3.339648112243546185e-01,-1.500420479868679324e+00,-6.952566084632262333e-01,-1.074511348274675537e+00
-1.610702575035747319e+00,-3.562343684017051371e-01,-1.471423582756591353e+00,-6.539823996444729115e-01,-5.921937440814574183e-01
-1.611589850867036988e+00,-3.788357852432337469e-01,-1.432215188641834613e+00,-6.024038034335923442e-01,-1.627304838829333467e-01
-1.607333445976224517e+00,-4.017690617489405591e-01,-1.382795297524410216e+00,-5.405208198305846423e-01,2.138784323208971216e-01
-1.597933360363309907e+00,-4.250341979188255181e-01,-1.323163909404317939e+00,-4.683334488354499725e-01,5.376330045300342642e-01
-1.583389594028292491e+00,-4.486311937528885685e-01,-1.253321024281556895e+00,-3.858416904481881127e-01,8.085332327444775258e-01
-1.563702146971173157e+00,-4.725600492511298212e-01,-1.173266642156127970e+00,-2.930455446687990628e-01,1.026579116964227323e+00
-1.538871019191951239e+00,-4.968207644135491652e-01,-1.083000763028030944e+00,-1.899450114972829062e-01,1.191770657189283433e+00
-1.508896210690626960e+00,-5.214133392401466560e-01,-9.825233868972654827e-01,-7.654009093363958738e-02,1.304107853419645746e+00
-1.473777721467200319e+00,-5.463377737309222937e-01,-8.718345137638321418e-01,4.716921702213069251e-02,1.363590705655314927e+00
-1.433515551521671538e+00,-5.715940678858761892e-01,-7.509341436277308102e-01,1.811829123700282318e-01,1.370219213896290311e+00
-1.388109700854039952e+00,-5.971822217050081205e-01,-6.198222764889608216e-01,3.255009951100529264e-01,1.323993378142571453e+00
