metrica,bloque,columna,minimo,maximo,promedio,M
1. MAE   (L^1),train,mae_f,0.46550657308258125,1.0617885167310606,0.794123786843939,1
1. MAE   (L^1),test,mae_f,0.6474021437036321,1.1694331534878508,0.8854184088132377,1
2. RMSE  (L^2),train,rmse_f,0.6485485032106126,1.2873700033900706,0.990450016721718,1
2. RMSE  (L^2),test,rmse_f,0.8001811626224901,1.4275340664931204,1.105883668146354,1
"3. Error maximo (L^inf, prom. por curva)",train,linf_medio,0.8754394069961394,1.7286716664859534,1.3329208184536718,1
"3. Error maximo (L^inf, prom. por curva)",test,linf_medio,1.1193436905651537,1.9281079509565813,1.5149249574526076,1
4. Winkler,train,winkler,3.5735982375089153,7.7360092859072775,5.07056159047337,1
4. Winkler,test,winkler,3.596768418023968,10.211498321475668,6.293222170671307,1
6a. PICP puntual,train,picp,0.789,0.982,0.8969074074074074,1
6a. PICP puntual,test,picp,0.7305,0.963,0.85639592760181,1
6b. PICP simultaneo (curva completa),train,picp_simultaneo,0.35,0.9,0.5919444444444444,1
6b. PICP simultaneo (curva completa),test,picp_simultaneo,0.2,0.8,0.4794117647058823,1
7. MPIW,train,mpiw,3.3286131308906706,3.4938174478804003,3.396965964445229,1
7. MPIW,test,mpiw,3.3534006708133695,3.677305927184351,3.495130259927491,1
1. MAE   (L^1),train,mae_f,0.4582927615854282,1.038824156701417,0.7870519509906597,2
1. MAE   (L^1),test,mae_f,0.6501866896065478,1.1698082389993103,0.8849625931343347,2
2. RMSE  (L^2),train,rmse_f,0.652634771528199,1.2542244213684692,0.9827542158249053,2
2. RMSE  (L^2),test,rmse_f,0.8017848080045646,1.4259729470377613,1.1041792224952347,2
"3. Error maximo (L^inf, prom. por curva)",train,linf_medio,0.8738576111312083,1.636046760120588,1.323501647236697,2
"3. Error maximo (L^inf, prom. por curva)",test,linf_medio,1.102099834489913,1.928654270831439,1.505290322896677,2
4. Winkler,train,winkler,3.81403819580364,6.580613740003744,4.655550261555866,2
4. Winkler,test,winkler,3.836941722349701,8.606771667059961,5.477572413601197,2
6a. PICP puntual,train,picp,0.8575,1.0,0.9414805555555555,2
6a. PICP puntual,test,picp,0.7955,1.0,0.911079185520362,2
6b. PICP simultaneo (curva completa),train,picp_simultaneo,0.55,1.0,0.7963888888888888,2
6b. PICP simultaneo (curva completa),test,picp_simultaneo,0.4,1.0,0.6766968325791856,2
7. MPIW,train,mpiw,3.793027334632774,3.9404996217527843,3.8485620066285247,2
7. MPIW,test,mpiw,3.8125758544273785,4.149409012260506,3.9369604338861888,2
1. MAE   (L^1),train,mae_f,0.45149277034271795,1.0461734886030187,0.787342480002934,3
1. MAE   (L^1),test,mae_f,0.6534269678231215,1.1685783110142616,0.8850333598816003,3
2. RMSE  (L^2),train,rmse_f,0.6406049132556608,1.2607354826085402,0.9830451675979806,3
2. RMSE  (L^2),test,rmse_f,0.8006843279941956,1.4249193395055275,1.1043540073906186,3
"3. Error maximo (L^inf, prom. por curva)",train,linf_medio,0.8689378792529778,1.653795071204851,1.324768982684038,3
"3. Error maximo (L^inf, prom. por curva)",test,linf_medio,1.103845651239788,1.9227559873363105,1.5038683332984208,3
4. Winkler,train,winkler,3.8571893981140084,6.3622413283748305,4.643105323202756,3
4. Winkler,test,winkler,3.8829735787091257,8.215212772259617,5.388809625173491,3
6a. PICP puntual,train,picp,0.864,1.0,0.9471157407407408,3
6a. PICP puntual,test,picp,0.8035,1.0,0.9174253393665158,3
6b. PICP simultaneo (curva completa),train,picp_simultaneo,0.65,1.0,0.840925925925926,3
6b. PICP simultaneo (curva completa),test,picp_simultaneo,0.5,1.0,0.7506787330316741,3
7. MPIW,train,mpiw,3.853591928050575,4.036788157629939,3.9172867946392755,3
7. MPIW,test,mpiw,3.882581205583733,4.226207656199133,4.012922788978581,3
