metrica,bloque,M,pct_ventanas_ganadas,n_ventanas
1. MAE   (L^1),train,1,0.20555555555555555,540
1. MAE   (L^1),train,2,0.4074074074074074,540
1. MAE   (L^1),train,3,0.387037037037037,540
1. MAE   (L^1),test,1,0.34841628959276016,221
1. MAE   (L^1),test,2,0.33031674208144796,221
1. MAE   (L^1),test,3,0.3212669683257919,221
2. RMSE  (L^2),train,1,0.20925925925925926,540
2. RMSE  (L^2),train,2,0.3888888888888889,540
2. RMSE  (L^2),train,3,0.40185185185185185,540
2. RMSE  (L^2),test,1,0.3031674208144796,221
2. RMSE  (L^2),test,2,0.3257918552036199,221
2. RMSE  (L^2),test,3,0.37104072398190047,221
"3. Error maximo (L^inf, prom. por curva)",train,1,0.34629629629629627,540
"3. Error maximo (L^inf, prom. por curva)",train,2,0.40555555555555556,540
"3. Error maximo (L^inf, prom. por curva)",train,3,0.24814814814814815,540
"3. Error maximo (L^inf, prom. por curva)",test,1,0.26244343891402716,221
"3. Error maximo (L^inf, prom. por curva)",test,2,0.37104072398190047,221
"3. Error maximo (L^inf, prom. por curva)",test,3,0.3665158371040724,221
