M,metrica,bloque,banda,razon_vs_mejor
1,4. Winkler,train,FAR (IC del modelo AR),1.0087409282378224
1,4. Winkler,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0084371921681676
1,4. Winkler,train,PSBPM-FD (predictiva bayesiana),1.0884498095408934
1,4. Winkler,test,FAR (IC del modelo AR),1.0027886013896374
1,4. Winkler,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0072938345631086
1,4. Winkler,test,PSBPM-FD (predictiva bayesiana),1.1898117674901254
1,6a. PICP simultaneo (curva completa),train,FAR (IC del modelo AR),1.0096934865900384
1,6a. PICP simultaneo (curva completa),train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0153256704980844
1,6a. PICP simultaneo (curva completa),train,PSBPM-FD (predictiva bayesiana),3.8591187739463617
1,6a. PICP simultaneo (curva completa),test,FAR (IC del modelo AR),1.0
1,6a. PICP simultaneo (curva completa),test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0164691683124862
1,6a. PICP simultaneo (curva completa),test,PSBPM-FD (predictiva bayesiana),2.7339075415112286
1,6b. PICP puntual,train,FAR (IC del modelo AR),2.5928143515920072
1,6b. PICP puntual,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",2.5771139184588763
1,6b. PICP puntual,train,PSBPM-FD (predictiva bayesiana),4.102307635909611
1,6b. PICP puntual,test,FAR (IC del modelo AR),1.1008173879320842
1,6b. PICP puntual,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.1846441035529311
1,6b. PICP puntual,test,PSBPM-FD (predictiva bayesiana),6.782699190611002
1,7. MPIW,train,FAR (IC del modelo AR),1.1518621670981393
1,7. MPIW,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.1519615576067357
1,7. MPIW,train,PSBPM-FD (predictiva bayesiana),1.0
1,7. MPIW,test,FAR (IC del modelo AR),1.1200697213496116
1,7. MPIW,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.1201663685895753
1,7. MPIW,test,PSBPM-FD (predictiva bayesiana),1.0
2,4. Winkler,train,FAR (IC del modelo AR),1.0203792016380837
2,4. Winkler,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0118385246416812
2,4. Winkler,train,PSBPM-FD (predictiva bayesiana),1.0182842485120474
2,4. Winkler,test,FAR (IC del modelo AR),1.0099600852929076
2,4. Winkler,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0115454532760608
2,4. Winkler,test,PSBPM-FD (predictiva bayesiana),1.044822413176125
2,6a. PICP simultaneo (curva completa),train,FAR (IC del modelo AR),1.0801767676767677
2,6a. PICP simultaneo (curva completa),train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.1391414141414142
2,6a. PICP simultaneo (curva completa),train,PSBPM-FD (predictiva bayesiana),1.6837121212121218
2,6a. PICP simultaneo (curva completa),test,FAR (IC del modelo AR),1.043449637919684
2,6a. PICP simultaneo (curva completa),test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0907413503035623
2,6a. PICP simultaneo (curva completa),test,PSBPM-FD (predictiva bayesiana),1.4937275985663083
2,6b. PICP puntual,train,FAR (IC del modelo AR),1.6533518986185587
2,6b. PICP puntual,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.6744393966041209
2,6b. PICP puntual,train,PSBPM-FD (predictiva bayesiana),1.5908314845991194
2,6b. PICP puntual,test,FAR (IC del modelo AR),1.2931411598223481
2,6b. PICP puntual,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.3971091624724945
2,6b. PICP puntual,test,PSBPM-FD (predictiva bayesiana),1.8389289513662108
2,7. MPIW,train,FAR (IC del modelo AR),1.017489505630751
2,7. MPIW,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0096456527264195
2,7. MPIW,train,PSBPM-FD (predictiva bayesiana),1.000796627666292
2,7. MPIW,test,FAR (IC del modelo AR),1.0097047965101853
2,7. MPIW,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0019209561297246
2,7. MPIW,test,PSBPM-FD (predictiva bayesiana),1.0159541103265182
3,4. Winkler,train,FAR (IC del modelo AR),1.018557875335574
3,4. Winkler,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0101962680471845
3,4. Winkler,train,PSBPM-FD (predictiva bayesiana),1.014994019209907
3,4. Winkler,test,FAR (IC del modelo AR),1.0132960579656094
3,4. Winkler,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0141443415090687
3,4. Winkler,test,PSBPM-FD (predictiva bayesiana),1.0324923735518694
3,6a. PICP simultaneo (curva completa),train,FAR (IC del modelo AR),1.1169991687448049
3,6a. PICP simultaneo (curva completa),train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.1695760598503742
3,6a. PICP simultaneo (curva completa),train,PSBPM-FD (predictiva bayesiana),1.2100997506234414
3,6a. PICP simultaneo (curva completa),test,FAR (IC del modelo AR),1.0831577792407288
