1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.832423548457145612e-01,1.143423143742720027e-01,2.404225810909522108e-03,1.110496910350818485e-05,0.000000000000000000e+00,0.000000000000000000e+00
7.759461433676186903e-01,2.145924229561921026e-01,9.372593923360907076e-03,8.883975282806547884e-05,0.000000000000000000e+00,0.000000000000000000e+00
6.777115866779857001e-01,3.014499387992814472e-01,2.053864035693839241e-02,2.998341657947210131e-04,0.000000000000000000e+00,0.000000000000000000e+00
5.881389058890883481e-01,3.756144749570607400e-01,3.553590113122618438e-02,7.107180226245238307e-04,0.000000000000000000e+00,0.000000000000000000e+00
5.068283221132013905e-01,4.377856444830513505e-01,5.399791226580855086e-02,1.388121137938523424e-03,0.000000000000000000e+00,0.000000000000000000e+00
4.333800564625983620e-01,4.886630604307741210e-01,7.555820978026968338e-02,2.398673326357768105e-03,0.000000000000000000e+00,0.000000000000000000e+00
3.673943300495527420e-01,5.289463358537499493e-01,9.985032969419382898e-02,3.809004402503306675e-03,0.000000000000000000e+00,0.000000000000000000e+00
3.084713639863383983e-01,5.593350838055002328e-01,1.265078080271652416e-01,5.685744180996190646e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.562113793852288657e-01,5.805289173395454805e-01,1.551641807987680921e-01,8.095522476457468058e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.102145973584979288e-01,5.932274495094069788e-01,1.854529840285866760e-01,1.110496910350818739e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.700812390184193723e-01,5.981302933686059031e-01,2.170077537362051778e-01,1.478071387676939581e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.354115254772668142e-01,5.959370619706630956e-01,2.494620259412078656e-01,1.918938661086214484e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.058056778473140391e-01,5.873473683690995095e-01,2.824493366631789515e-01,2.439761712040748598e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.086391724083466515e-02,5.730608256174362092e-01,3.156032219217025370e-01,3.047203522002645340e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.018646477010242829e-02,5.537770467691941478e-01,3.485572177363630564e-01,3.747927072434012463e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.337354154739105072e-02,5.301956448778946118e-01,3.809448601267447776e-01,4.548595344796952517e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.002536868497421643e-02,5.030162329970584434e-01,4.123996851124317464e-01,5.455871320553572212e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.974216729512563717e-02,4.729384241802064293e-01,4.425552287130081197e-01,6.476417981165974447e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.212415849011901949e-02,4.406618314808598003e-01,4.710450269480583874e-01,7.616898308096267667e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.771563382228091600e-03,4.068860679525397317e-01,4.975026158371666507e-01,8.883975282806549911e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.284603083726530138e-03,3.723107466487670103e-01,5.215615313999170111e-01,1.028431188675892755e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.263498706888038607e-03,3.376354806230627004e-01,5.428553096558940139e-01,1.182457110141551665e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.084713639863358040e-04,3.035598829289477552e-01,5.610174866246817604e-01,1.351141590823841387e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.974216729512541689e-05,2.707835666199434055e-01,5.756815983258641856e-01,1.535150928868971587e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.400012092077467851e-01,5.864848824353936507e-01,1.735132914141314098e-01,6.169427279726806069e-07,0.000000000000000000e+00
0.000000000000000000e+00,2.116113556946280783e-01,5.932866760112925908e-01,1.950624839594891358e-01,3.948433459025155884e-05,0.000000000000000000e+00
0.000000000000000000e+00,1.855535456932460858e-01,5.962905701537914993e-01,2.179442727972678018e-01,2.116113556946294617e-04,0.000000000000000000e+00
0.000000000000000000e+00,1.617278344816693303e-01,5.957297692140642864e-01,2.419254535762936364e-01,6.169427279726783300e-04,0.000000000000000000e+00
0.000000000000000000e+00,1.400342773379661399e-01,5.918374775432847512e-01,2.667728219453931460e-01,1.355423173355971636e-03,0.000000000000000000e+00
0.000000000000000000e+00,1.203729295402048566e-01,5.848468994926261377e-01,2.922531735533926978e-01,2.526997413776087623e-03,0.000000000000000000e+00
0.000000000000000000e+00,1.026438463664540029e-01,5.749912394132626892e-01,3.181333040491186037e-01,4.231610171164600087e-03,0.000000000000000000e+00
0.000000000000000000e+00,8.674708309478210144e-02,5.625037016563678716e-01,3.441800090813970092e-01,6.569206167453070684e-03,0.000000000000000000e+00
0.000000000000000000e+00,7.258269500325742474e-02,5.476174905731150400e-01,3.701600842990543372e-01,9.639730124573078415e-03,0.000000000000000000e+00
0.000000000000000000e+00,6.005073736994843286e-02,5.305658105146783265e-01,3.958403253509170661e-01,1.354312676445621096e-02,0.000000000000000000e+00
0.000000000000000000e+00,4.905126547292355810e-02,5.115818658322309753e-01,4.209875278858113967e-01,1.837934080903403863e-02,0.000000000000000000e+00
0.000000000000000000e+00,3.948433459025127434e-02,4.908988608769469519e-01,4.453684875525635856e-01,2.424831698023810836e-02,0.000000000000000000e+00
0.000000000000000000e+00,3.124999999999998265e-02,4.687499999999998890e-01,4.687499999999999445e-01,3.125000000000000000e-02,0.000000000000000000e+00
0.000000000000000000e+00,2.424831698023803897e-02,4.453684875525633080e-01,4.908988608769471185e-01,3.948433459025137149e-02,0.000000000000000000e+00
0.000000000000000000e+00,1.837934080903397965e-02,4.209875278858111747e-01,5.115818658322310863e-01,4.905126547292366912e-02,0.000000000000000000e+00
0.000000000000000000e+00,1.354312676445618320e-02,3.958403253509168995e-01,5.305658105146783265e-01,6.005073736994848838e-02,0.000000000000000000e+00
0.000000000000000000e+00,9.639730124573066272e-03,3.701600842990542817e-01,5.476174905731150400e-01,7.258269500325746637e-02,0.000000000000000000e+00
0.000000000000000000e+00,6.569206167453060276e-03,3.441800090813968982e-01,5.625037016563676495e-01,8.674708309478211532e-02,0.000000000000000000e+00
0.000000000000000000e+00,4.231610171164576668e-03,3.181333040491183262e-01,5.749912394132626892e-01,1.026438463664541834e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.526997413776077214e-03,2.922531735533925867e-01,5.848468994926262488e-01,1.203729295402049815e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.355423173355968167e-03,2.667728219453930905e-01,5.918374775432846402e-01,1.400342773379661676e-01,0.000000000000000000e+00
0.000000000000000000e+00,6.169427279726716080e-04,2.419254535762933866e-01,5.957297692140642864e-01,1.617278344816695523e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.116113556946261549e-04,2.179442727972675242e-01,5.962905701537913883e-01,1.855535456932463079e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.948433459025083378e-05,1.950624839594889415e-01,5.932866760112923687e-01,2.116113556946281893e-01,0.000000000000000000e+00
0.000000000000000000e+00,6.169427279726579487e-07,1.735132914141314098e-01,5.864848824353936507e-01,2.400012092077468406e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.535150928868971032e-01,5.756815983258640745e-01,2.707835666199435165e-01,1.974216729512577942e-05
0.000000000000000000e+00,0.000000000000000000e+00,1.351141590823839445e-01,5.610174866246815384e-01,3.035598829289480882e-01,3.084713639863425260e-04
0.000000000000000000e+00,0.000000000000000000e+00,1.182457110141550555e-01,5.428553096558939028e-01,3.376354806230629224e-01,1.263498706888049883e-03
0.000000000000000000e+00,0.000000000000000000e+00,1.028431188675892477e-01,5.215615313999170111e-01,3.723107466487671213e-01,3.284603083726539679e-03
0.000000000000000000e+00,0.000000000000000000e+00,8.883975282806534646e-02,4.975026158371663731e-01,4.068860679525401203e-01,6.771563382228142774e-03
0.000000000000000000e+00,0.000000000000000000e+00,7.616898308096255177e-02,4.710450269480581653e-01,4.406618314808600778e-01,1.212415849011909234e-02
0.000000000000000000e+00,0.000000000000000000e+00,6.476417981165967508e-02,4.425552287130078977e-01,4.729384241802065403e-01,1.974216729512570309e-02
0.000000000000000000e+00,0.000000000000000000e+00,5.455871320553567355e-02,4.123996851124314689e-01,5.030162329970583324e-01,3.002536868497426847e-02
0.000000000000000000e+00,0.000000000000000000e+00,4.548595344796951129e-02,3.809448601267446666e-01,5.301956448778946118e-01,4.337354154739108542e-02
0.000000000000000000e+00,0.000000000000000000e+00,3.747927072434006912e-02,3.485572177363628343e-01,5.537770467691943699e-01,6.018646477010259482e-02
0.000000000000000000e+00,0.000000000000000000e+00,3.047203522002642564e-02,3.156032219217023704e-01,5.730608256174362092e-01,8.086391724083480392e-02
0.000000000000000000e+00,0.000000000000000000e+00,2.439761712040746516e-02,2.824493366631787850e-01,5.873473683690995095e-01,1.058056778473141640e-01
0.000000000000000000e+00,0.000000000000000000e+00,1.918938661086209974e-02,2.494620259412075325e-01,5.959370619706630956e-01,1.354115254772671750e-01
0.000000000000000000e+00,0.000000000000000000e+00,1.478071387676936632e-02,2.170077537362049280e-01,5.981302933686059031e-01,1.700812390184197054e-01
0.000000000000000000e+00,0.000000000000000000e+00,1.110496910350816831e-02,1.854529840285865094e-01,5.932274495094070899e-01,2.102145973584982064e-01
0.000000000000000000e+00,0.000000000000000000e+00,8.095522476457459385e-03,1.551641807987679811e-01,5.805289173395453695e-01,2.562113793852290877e-01
0.000000000000000000e+00,0.000000000000000000e+00,5.685744180996188911e-03,1.265078080271652139e-01,5.593350838055001217e-01,3.084713639863384538e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.809004402503296267e-03,9.985032969419366244e-02,5.289463358537498383e-01,3.673943300495532416e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.398673326357762467e-03,7.555820978026957235e-02,4.886630604307737880e-01,4.333800564625987506e-01
0.000000000000000000e+00,0.000000000000000000e+00,1.388121137938521038e-03,5.399791226580848147e-02,4.377856444830511284e-01,5.068283221132017236e-01
