M,estrato,n,q_medio,MISE,MISE_truncamiento,frac_test
3,q1 (baja),100,0.10258551499732613,1.185287114976685,0.009280596916161812,0.25
3,q2,99,0.2615027715186302,1.122365616173628,0.009091525326501747,0.24242424242424243
3,q3,100,0.3508217140000741,1.3332279115837213,0.009096054378633806,0.23
3,q4 (alta),100,1.0014294884021666,1.970447314105275,0.014220304499232247,0.48
