bloque,modelo,RMSE_scores,R2_scores,MISE,RMSE_func,MISE_rel_PSBP
train,PSBPM-FD,0.8003110660108123,0.34926823803181534,1.1580890568969011,1.0761454627033007,1.0
train,VAR,0.8536349604118166,0.26580284691235606,1.2546523007936823,1.1201126286198555,1.0833815355750984
train,FAR1,0.8536406342229818,0.2657939337213201,1.2546688125686296,1.1201199991825115,1.0833957933516045
train,RF,0.6847917749147708,0.5240089022111719,0.8557250052274369,0.9250540553002494,0.7389112263268867
train,GBT,0.24799854251466125,0.9358922342478636,0.12153530770003211,0.3486191441961157,0.10494469918029092
train,media,1.001124383831279,-4.773494718982955e-06,2.094004515583708,1.447067557366866,1.8081549973320634
train,persistencia,0.9990713759803981,-0.018178467883936917,1.5718006666695048,1.2537147469299006,1.3572364381726771
train,(truncamiento FPCA),,,0.009559594553978744,,0.00825462817133742
test,PSBPM-FD,1.0617844116485398,0.16187991313701003,1.9741965266126824,1.4050610401732313,1.0
test,VAR,0.9848934804036995,0.27577736857228785,1.8315015289953946,1.3533297931381674,0.9277199631882024
test,FAR1,0.9859760943354056,0.2744164538334967,1.8411053520075276,1.356873373608432,0.9325846374405733
test,RF,1.26752813526318,-0.16621588460471626,3.7902783199971055,1.9468637137707163,1.919909324579984
test,GBT,1.424114789924939,-0.537589578867755,3.3513992748620964,1.8306827346271928,1.6976016468899437
test,media,1.538019644978137,-0.8009901059738859,8.86541138809996,2.977484070167288,4.490642784845333
test,persistencia,0.9978206368074671,0.1822475220749974,1.3339485830771187,1.1549669186072469,0.6756918903944693
test,(truncamiento FPCA),,,0.012438580884719917,,0.006300578851722517
