bloque,modelo,FPC1,FPC2,FPC3
test,FAR1,0.9187992326641726,1.0119074438682638,1.0272216064737802
test,GBT,1.2228130752255109,1.076058019841852,1.9734732747074533
test,RF,1.3742267044775873,1.0043975671688024,1.4239601341431507
test,VAR,0.9158619069237182,1.0116839202180048,1.0271346140693758
test,media,2.1830460414698365,1.0582878613955602,1.372725032069014
test,persistencia,0.7000346547133041,1.255769575218035,1.0376576804910627
train,FAR1,0.7442457525515235,0.9480547830515724,0.8686213670658491
train,GBT,0.2231177656931539,0.3207992058609566,0.20007865598987318
train,RF,0.6161802341081556,0.8115726519236983,0.6266224387124584
train,VAR,0.7442323799590176,0.9480511552751414,0.8686213460012909
train,media,1.0017534495695921,1.0007899127892859,1.0008297891349591
train,persistencia,0.8118311297247607,1.175381165260647,1.0100018329557863
