componente,n_activas,VP,FP,FN,VN,sensibilidad,especificidad,exactitud,auc,pip_media_activas,pip_media_inactivas
FPC 1,4,1,0,3,0,0.25,0.0,0.25,,0.25,
FPC 2,4,1,0,3,0,0.25,0.0,0.25,,0.29575,
FPC 3,4,1,0,3,0,0.25,0.0,0.25,,0.395,
FPC 4,4,1,0,3,0,0.25,0.0,0.25,,0.31266666666666665,
