t,bloque,I_t_puntual,I_t_simultaneo
2,train,0.8266666666666667,0.0
3,train,0.7066666666666667,0.0
4,train,1.0,1.0
5,train,0.9733333333333334,0.0
6,train,0.7333333333333333,0.0
7,train,0.96,0.0
8,train,0.8666666666666667,0.0
9,train,0.9866666666666667,0.0
10,train,0.9866666666666667,0.0
11,train,0.9866666666666667,0.0
12,train,0.9733333333333334,0.0
13,train,1.0,1.0
14,train,1.0,1.0
15,train,0.9866666666666667,0.0
16,train,1.0,1.0
17,train,0.68,0.0
18,train,0.84,0.0
19,train,0.96,0.0
20,train,0.8666666666666667,0.0
21,train,0.8266666666666667,0.0
22,train,0.8666666666666667,0.0
23,train,0.9333333333333333,0.0
24,train,0.9066666666666666,0.0
25,train,0.8533333333333334,0.0
26,train,0.8933333333333333,0.0
27,train,0.7466666666666667,0.0
28,train,0.8133333333333334,0.0
29,train,0.7866666666666666,0.0
30,train,0.76,0.0
31,train,0.9866666666666667,0.0
32,train,0.9866666666666667,0.0
33,train,1.0,1.0
34,train,0.9866666666666667,0.0
35,train,1.0,1.0
36,train,1.0,1.0
37,train,0.9866666666666667,0.0
38,train,0.9866666666666667,0.0
39,train,1.0,1.0
40,train,0.9733333333333334,0.0
41,train,1.0,1.0
42,train,1.0,1.0
43,train,1.0,1.0
44,train,1.0,1.0
45,train,0.9866666666666667,0.0
46,train,1.0,1.0
47,train,1.0,1.0
48,train,0.9466666666666667,0.0
49,train,1.0,1.0
50,train,1.0,1.0
51,train,1.0,1.0
52,train,0.9866666666666667,0.0
53,train,1.0,1.0
54,train,1.0,1.0
55,train,1.0,1.0
56,train,1.0,1.0
57,train,0.9866666666666667,0.0
58,train,0.92,0.0
59,train,0.9066666666666666,0.0
60,train,0.9866666666666667,0.0
61,train,0.9866666666666667,0.0
62,train,0.96,0.0
63,train,0.9866666666666667,0.0
64,train,0.9866666666666667,0.0
65,train,1.0,1.0
66,train,0.9866666666666667,0.0
67,train,0.84,0.0
68,train,0.9466666666666667,0.0
69,train,1.0,1.0
70,train,0.9866666666666667,0.0
71,train,0.9333333333333333,0.0
72,train,0.7866666666666666,0.0
73,train,0.92,0.0
74,train,1.0,1.0
75,train,0.9866666666666667,0.0
76,train,0.7866666666666666,0.0
77,train,0.6266666666666667,0.0
78,train,0.8933333333333333,0.0
79,train,0.76,0.0
80,train,0.9733333333333334,0.0
81,train,0.9866666666666667,0.0
82,train,1.0,1.0
83,train,1.0,1.0
84,train,0.9866666666666667,0.0
85,train,0.9866666666666667,0.0
86,train,0.9866666666666667,0.0
87,train,0.6666666666666666,0.0
88,train,0.8266666666666667,0.0
89,train,0.8133333333333334,0.0
90,train,0.8,0.0
91,train,0.96,0.0
92,train,0.8533333333333334,0.0
93,train,0.8266666666666667,0.0
94,train,0.9733333333333334,0.0
95,train,0.9733333333333334,0.0
96,train,1.0,1.0
97,train,0.96,0.0
98,train,0.76,0.0
99,train,0.88,0.0
100,train,0.8666666666666667,0.0
101,train,0.88,0.0
102,train,0.8533333333333334,0.0
103,train,0.96,0.0
104,train,0.7466666666666667,0.0
105,train,0.8666666666666667,0.0
106,train,0.8666666666666667,0.0
107,train,0.8933333333333333,0.0
108,train,0.8,0.0
109,train,0.9466666666666667,0.0
110,train,0.9866666666666667,0.0
111,train,0.96,0.0
112,train,0.96,0.0
113,train,0.6666666666666666,0.0
114,train,0.7733333333333333,0.0
115,train,0.9733333333333334,0.0
116,train,0.9866666666666667,0.0
117,train,1.0,1.0
118,train,1.0,1.0
119,train,0.9866666666666667,0.0
120,train,0.96,0.0
121,train,0.9333333333333333,0.0
122,train,0.9733333333333334,0.0
123,train,0.48,0.0
124,train,0.88,0.0
125,train,0.8266666666666667,0.0
126,train,0.8266666666666667,0.0
127,train,0.88,0.0
128,train,0.8933333333333333,0.0
129,train,1.0,1.0
130,train,1.0,1.0
131,train,0.9866666666666667,0.0
132,train,0.96,0.0
133,train,0.6133333333333333,0.0
134,train,1.0,1.0
135,train,0.9866666666666667,0.0
136,train,0.9466666666666667,0.0
137,train,1.0,1.0
138,train,0.7733333333333333,0.0
139,train,0.76,0.0
140,train,0.92,0.0
141,train,0.8266666666666667,0.0
142,train,0.9466666666666667,0.0
143,train,0.8666666666666667,0.0
144,train,0.9466666666666667,0.0
145,train,0.8133333333333334,0.0
146,train,0.88,0.0
147,train,0.9333333333333333,0.0
148,train,0.7866666666666666,0.0
149,train,0.84,0.0
150,train,0.84,0.0
151,train,0.8533333333333334,0.0
152,train,0.9333333333333333,0.0
153,train,0.8266666666666667,0.0
154,train,0.92,0.0
155,train,0.8,0.0
156,train,0.8933333333333333,0.0
157,train,0.92,0.0
158,train,0.9466666666666667,0.0
159,train,0.9066666666666666,0.0
160,train,0.8266666666666667,0.0
161,train,0.8933333333333333,0.0
162,train,0.9866666666666667,0.0
163,train,0.9866666666666667,0.0
164,train,1.0,1.0
165,train,1.0,1.0
166,train,0.96,0.0
167,train,1.0,1.0
168,train,0.9333333333333333,0.0
169,train,1.0,1.0
170,train,0.9466666666666667,0.0
171,train,0.96,0.0
172,train,1.0,1.0
173,train,1.0,1.0
174,train,0.96,0.0
175,train,1.0,1.0
176,train,1.0,1.0
177,train,1.0,1.0
178,train,0.96,0.0
179,train,0.9466666666666667,0.0
180,train,0.8666666666666667,0.0
181,train,0.7333333333333333,0.0
182,train,0.8933333333333333,0.0
183,train,0.7733333333333333,0.0
184,train,0.84,0.0
185,train,0.6,0.0
186,train,0.8933333333333333,0.0
187,train,0.8266666666666667,0.0
188,train,1.0,1.0
189,train,1.0,1.0
190,train,0.92,0.0
191,train,0.9866666666666667,0.0
192,train,0.9733333333333334,0.0
193,train,0.9866666666666667,0.0
194,train,0.9866666666666667,0.0
195,train,0.84,0.0
196,train,0.8133333333333334,0.0
197,train,0.8666666666666667,0.0
198,train,0.9333333333333333,0.0
199,train,0.5733333333333334,0.0
200,train,0.8,0.0
201,train,0.9333333333333333,0.0
202,train,0.88,0.0
203,train,0.8533333333333334,0.0
204,train,0.84,0.0
205,train,0.8666666666666667,0.0
206,train,0.9333333333333333,0.0
207,train,0.92,0.0
208,train,0.92,0.0
209,train,0.8933333333333333,0.0
210,train,0.8533333333333334,0.0
211,train,0.8533333333333334,0.0
212,train,0.8933333333333333,0.0
213,train,0.92,0.0
214,train,0.8266666666666667,0.0
215,train,0.96,0.0
216,train,0.8666666666666667,0.0
217,train,0.9333333333333333,0.0
218,train,0.88,0.0
219,train,0.8133333333333334,0.0
220,train,0.8933333333333333,0.0
221,train,0.8266666666666667,0.0
222,train,0.9733333333333334,0.0
223,train,0.6,0.0
224,train,0.9066666666666666,0.0
225,train,0.88,0.0
226,train,0.88,0.0
227,train,0.8533333333333334,0.0
228,train,0.9333333333333333,0.0
229,train,0.9066666666666666,0.0
230,train,0.88,0.0
231,train,0.88,0.0
232,train,0.9466666666666667,0.0
233,train,0.84,0.0
234,train,0.8666666666666667,0.0
235,train,0.9066666666666666,0.0
236,train,0.9066666666666666,0.0
237,train,0.92,0.0
238,train,0.9066666666666666,0.0
239,train,0.92,0.0
240,train,1.0,1.0
241,train,1.0,1.0
242,train,0.9466666666666667,0.0
243,train,0.9866666666666667,0.0
244,train,0.9866666666666667,0.0
245,train,1.0,1.0
246,train,1.0,1.0
247,train,0.9866666666666667,0.0
248,train,0.9733333333333334,0.0
249,train,1.0,1.0
250,train,0.9866666666666667,0.0
251,train,1.0,1.0
252,train,0.8133333333333334,0.0
253,train,0.8933333333333333,0.0
254,train,0.8133333333333334,0.0
255,train,0.8666666666666667,0.0
256,train,0.8666666666666667,0.0
257,train,0.9733333333333334,0.0
258,train,0.7733333333333333,0.0
259,train,0.7466666666666667,0.0
260,train,0.9066666666666666,0.0
261,train,0.96,0.0
262,train,0.8266666666666667,0.0
263,train,0.88,0.0
264,train,0.8933333333333333,0.0
265,train,0.9866666666666667,0.0
266,train,1.0,1.0
267,train,1.0,1.0
268,train,0.9333333333333333,0.0
269,train,0.88,0.0
270,train,0.9866666666666667,0.0
271,train,0.9866666666666667,0.0
272,train,0.9866666666666667,0.0
273,train,1.0,1.0
274,train,0.9866666666666667,0.0
275,train,0.9866666666666667,0.0
276,train,0.9866666666666667,0.0
277,train,1.0,1.0
278,train,0.9466666666666667,0.0
279,train,0.9866666666666667,0.0
280,train,0.9466666666666667,0.0
281,train,0.9866666666666667,0.0
282,train,0.5066666666666667,0.0
283,train,0.92,0.0
284,train,0.84,0.0
285,train,0.9333333333333333,0.0
286,train,0.6533333333333333,0.0
287,train,1.0,1.0
288,train,0.7866666666666666,0.0
289,train,0.9333333333333333,0.0
290,train,1.0,1.0
291,train,0.9866666666666667,0.0
292,train,1.0,1.0
293,train,0.6,0.0
294,train,0.88,0.0
295,train,0.96,0.0
296,train,0.5466666666666666,0.0
297,train,0.8933333333333333,0.0
298,train,0.92,0.0
299,train,0.88,0.0
300,train,0.84,0.0
301,train,0.9066666666666666,0.0
302,train,0.84,0.0
303,train,0.8666666666666667,0.0
304,train,0.84,0.0
305,train,0.7866666666666666,0.0
306,train,0.9733333333333334,0.0
307,train,0.9733333333333334,0.0
308,train,1.0,1.0
309,train,0.9733333333333334,0.0
310,train,1.0,1.0
311,train,0.9333333333333333,0.0
312,train,0.9866666666666667,0.0
313,train,0.8533333333333334,0.0
314,train,0.8533333333333334,0.0
315,train,0.92,0.0
316,train,0.6933333333333334,0.0
317,train,0.8,0.0
318,train,0.6933333333333334,0.0
319,train,0.92,0.0
320,train,0.8266666666666667,0.0
321,train,0.8133333333333334,0.0
322,train,0.8533333333333334,0.0
323,train,0.8533333333333334,0.0
324,train,0.92,0.0
325,train,0.96,0.0
326,train,0.88,0.0
327,train,0.9866666666666667,0.0
328,train,0.64,0.0
329,train,0.7066666666666667,0.0
330,train,0.92,0.0
331,train,0.8933333333333333,0.0
332,train,0.96,0.0
333,train,0.8133333333333334,0.0
334,train,0.9733333333333334,0.0
335,train,0.9866666666666667,0.0
336,train,0.9866666666666667,0.0
337,train,0.9733333333333334,0.0
338,train,0.96,0.0
339,train,0.9733333333333334,0.0
340,train,0.9733333333333334,0.0
341,train,0.9866666666666667,0.0
342,train,0.6266666666666667,0.0
343,train,0.8133333333333334,0.0
344,train,0.8666666666666667,0.0
345,train,0.9866666666666667,0.0
346,train,0.5866666666666667,0.0
347,train,0.8533333333333334,0.0
348,train,0.9066666666666666,0.0
349,train,0.8,0.0
350,train,0.8533333333333334,0.0
351,train,0.96,0.0
352,train,0.88,0.0
353,train,0.8,0.0
354,train,0.88,0.0
355,train,0.9866666666666667,0.0
356,train,0.64,0.0
357,train,0.92,0.0
358,train,0.8933333333333333,0.0
359,train,0.8266666666666667,0.0
360,train,0.8666666666666667,0.0
361,train,0.9066666666666666,0.0
362,train,0.84,0.0
363,train,0.9866666666666667,0.0
364,train,0.9733333333333334,0.0
365,train,0.88,0.0
366,train,0.8933333333333333,0.0
367,train,0.8666666666666667,0.0
368,train,0.96,0.0
369,train,0.9333333333333333,0.0
370,train,0.8533333333333334,0.0
371,train,0.88,0.0
372,train,0.88,0.0
373,train,0.8,0.0
374,train,0.9333333333333333,0.0
375,train,0.96,0.0
376,train,1.0,1.0
377,train,0.64,0.0
378,train,0.8266666666666667,0.0
379,train,0.8133333333333334,0.0
380,train,0.92,0.0
381,train,0.92,0.0
382,train,1.0,1.0
383,train,0.9733333333333334,0.0
384,train,1.0,1.0
385,train,1.0,1.0
386,train,0.9733333333333334,0.0
387,train,1.0,1.0
388,train,0.9866666666666667,0.0
389,train,0.9733333333333334,0.0
390,train,0.9733333333333334,0.0
391,train,1.0,1.0
392,train,0.9733333333333334,0.0
393,train,0.7333333333333333,0.0
394,train,0.8933333333333333,0.0
395,train,0.92,0.0
396,train,0.8933333333333333,0.0
397,train,0.9866666666666667,0.0
398,train,0.9866666666666667,0.0
399,train,0.96,0.0
400,train,0.9866666666666667,0.0
401,train,0.9866666666666667,0.0
402,train,1.0,1.0
403,train,0.9866666666666667,0.0
404,train,0.96,0.0
405,train,0.6533333333333333,0.0
406,train,0.8533333333333334,0.0
407,train,0.9333333333333333,0.0
408,train,0.88,0.0
409,train,0.7466666666666667,0.0
410,train,0.8533333333333334,0.0
411,train,0.84,0.0
412,train,0.92,0.0
413,train,0.9733333333333334,0.0
414,train,0.7066666666666667,0.0
415,train,1.0,1.0
416,train,0.7466666666666667,0.0
417,train,0.9333333333333333,0.0
418,train,0.88,0.0
419,train,0.8133333333333334,0.0
420,train,0.9866666666666667,0.0
421,train,0.9866666666666667,0.0
422,train,0.96,0.0
423,train,0.9733333333333334,0.0
424,train,0.9866666666666667,0.0
425,train,0.9866666666666667,0.0
426,train,0.9866666666666667,0.0
427,train,0.9866666666666667,0.0
428,train,0.9733333333333334,0.0
