experiment_id,escenario_2_r01
escenario_id,2
objetivo_evaluacion,curva_verdadera
modo_residuo,ninguno
nivel,0.95
S_scores,45000
S_funcional,500
rmse_scores_train,0.9986063259505986
rmse_scores_test,0.9742560300737837
r2_scores_test,-0.0058713237389893536
crps_scores_test,0.5477670184276568
mise_train,1.1101324175420486
mise_test,1.0142934481561325
mise_truncamiento_test,0.03484900635953178
energy_test,5.39785147173489
cobertura_puntual_test,0.9288888888888889
cobertura_estrato_bajo,0.9354179761156505
cobertura_estrato_alto,0.9178439803439802
amplitud_cobertura_estratos,0.018273955773955963
razon_ancho_alto_bajo,1.1302396480592758
corr_ancho_sigma,0.6785072425907631
