bloque,modelo,FPC1,FPC2
test,FAR1,0.9408958622154622,1.0187789010634491
test,GBT,1.1357783359077351,1.1195058095390376
test,RF,0.9709867655049544,1.0414455091365546
test,VAR,0.9409671976023051,1.018734992388509
test,media,0.9261603002846723,1.0173883316817773
test,persistencia,1.2096674485954426,1.4406552704959703
train,FAR1,0.9979324802100975,0.9981074837734693
train,GBT,0.4676811860892746,0.4342815331955914
train,RF,0.8507823850402821,0.8372536674696516
train,VAR,0.9979286965151468,0.9981060175851135
train,media,1.0011096016631824,1.001130504714873
train,persistencia,1.4670479637509701,1.4051904939177706
