bloque,modelo,RMSE_scores,R2_scores,sd_ratio,MISE,RMSE_func,n
test,(truncamiento FPCA),,,,0.03484900635953178,0.18667888568215685,120
test,FAR1,0.9798373816394557,-0.017905463692099666,0.07670499839838989,1.0347457308218806,1.0172245233093236,120
test,GBT,1.1276420727233862,-0.3580108417800997,0.614654107806553,1.443836857086571,1.2015976269477944,120
test,RF,1.0062161373207545,-0.07402482539581068,0.25602017587814396,1.0964514263589833,1.0471157655001586,120
test,VAR,0.979851094995407,-0.017940506668587153,0.07670983194219194,1.03485781361377,1.0172796142721872,120
test,media,0.9717743159832248,-0.0004932989160471024,0.0,1.0092749841028743,1.004626788465684,120
test,persistencia,1.3251613595457066,-0.8564630822929383,1.0068509255938034,1.7469091649923487,1.3217069134238304,120
train,(truncamiento FPCA),,,,0.03396355123414175,0.18429202704984757,279
train,FAR1,0.9980199819917834,0.00617883969848132,0.07862847659181149,1.1130020570159564,1.0549891264918119,279
train,GBT,0.450981359642433,0.7967910997616082,0.7048213765014051,0.2634841489585399,0.5133070708246087,279
train,RF,0.8440180262549668,0.28917736406820993,0.28299347071547565,0.8135106769541517,0.9019482673380729,279
train,VAR,0.9980173570501302,0.006184067332510312,0.07863260465345136,1.1129896879523877,1.0549832642996702,279
train,media,1.0011200531890276,-4.802409087401038e-06,0.0,1.1196818355611953,1.0581501951808143,279
train,persistencia,1.4361192288343703,-1.05879230096235,0.9970525694206065,2.334940481339092,1.528051203768739,279
