t,sigma2_media,sigma2_min,sigma2_max,resid2_media
1,0.8000287328820901,0.6968177736927507,0.9708962211132444,0.4466524195295923
2,0.7793180315800764,0.6813472767946648,0.9670002602498267,1.3906101603061625
3,0.9568982792751147,0.7879544463273078,1.112583013538908,0.9384358419053241
4,0.9663169887349519,0.899102248441965,1.0288029453919707,0.26639407304106727
5,0.8363174660975803,0.7807764230952531,0.9519419208035463,4.06787586518658
6,1.4549008134194237,1.1090942177993768,1.8445111834582155,5.0064093400426515
7,2.007274530080525,1.4344948552978554,2.238971053977183,2.734679420685011
8,1.9264645567056873,1.2867563082018374,2.3983494551976827,1.7086995559228175
9,1.6614733145009513,1.1552375526503005,2.067109566425244,0.6480240506111294
10,1.3138908397776214,1.0787311120449434,1.4673802508222364,0.7653507176721803
11,1.1269774838427387,0.9985381518022465,1.2615558877384068,1.7565030898959408
12,1.1918560842647432,0.9907086413844847,1.4773956266857642,0.3003042539552545
13,0.9626658121086342,0.9138311459234586,1.0314364160167013,4.124800416755689
14,1.5768295214754233,1.042697830389249,1.942409729605092,2.185761991719208
15,1.5406838030276935,1.0518843939846512,1.9148913851537332,1.0450167170962146
16,1.2880506536689618,1.1695998112540433,1.4334380233154111,0.2037133165514594
17,0.9993370835727776,0.9555780178086115,1.0760409796855839,1.2795427337578058
18,1.0244933479315212,0.8730126236103863,1.1800826353356502,2.6663159499203033
19,1.3474666976708465,1.0471213814472338,1.5939426801590622,1.315536052702395
20,1.2499799164611183,1.1224427851334442,1.3463968018181953,2.749717662133561
21,1.461272108855782,0.9640830358676288,1.9510544715931735,3.468714411322267
22,1.7510180118484644,0.9589855756196082,2.449085041774722,4.398018809639766
23,2.0944403345474956,1.351752199389551,2.5873704368753043,0.4979692904855951
24,1.5151419318350987,1.3052791358440794,1.6201886727355728,2.7240769480778244
25,1.646292326582774,1.1802196245871215,1.998706283961427,0.623182652343559
26,1.2906850086371362,1.1570435238187273,1.3699761835040638,0.6535472884808157
27,1.1006669477212283,1.0317037319331877,1.1746523144285788,0.6116623896866027
28,0.9796146052176463,0.8809608412499519,1.1002254150889414,0.37102856287930425
29,0.8685597720357737,0.780966839248742,0.9959359040017959,0.3908272003816253
30,0.8128359873135077,0.7726457926271104,0.8994094840450116,0.20009788826081537
31,0.7460672579718419,0.6799916188642587,0.8820025131098855,0.6580928237802811
32,0.7865819589977103,0.6778151222495055,0.972164958284332,0.14937770192716793
33,0.722664421266556,0.6473568568140213,0.8706249670522175,0.2013370230762819
34,0.6984757803229581,0.6381555452932308,0.8288772757768225,0.7361317435944387
35,0.7670888229464108,0.6396223020966944,0.988326888430929,2.796221854077997
36,1.2304104862010423,0.9862097601794453,1.3992757785726413,1.513387161866806
37,1.2020585000933908,1.0756933444651728,1.3739602253711811,0.06029600582362042
38,0.9293251041842119,0.8919399026042685,0.998395321554136,0.8867516351682131
39,0.9279241418435491,0.7873250844529139,1.1455718311668015,0.3856918120811937
40,0.8392426285966257,0.7405284868599157,0.9741034532593611,0.3863030478578029
41,0.7928353291241383,0.6924438676886853,0.9587945273436047,1.010075066496591
42,0.8859158715655411,0.7299028437931188,1.062086159475108,2.851227731019176
43,1.2640558687732073,0.7922206467007363,1.8435291289637936,3.2787928506640474
44,1.5610184503227558,0.8552961078382322,2.311728390134037,5.323768306053262
45,2.1213211774798437,1.0817746967959705,3.018377693186968,6.234432311567435
46,2.6975418191417964,1.362270957436582,3.6575034584570516,2.018306564386484
47,2.1650424541096904,1.5671530964236848,2.5799856430782113,0.3125603486134523
