FPC,estrato,n,cobertura,ancho_medio,desvio,crps
FPC 1,baja,37,0.9459459459459459,3.8921525972798685,0.012612612612612595,0.5525884104590589
FPC 1,media,47,0.9574468085106383,3.8972541637506195,0.024113475177305,0.5575897444783466
FPC 1,alta,36,0.8888888888888888,3.920192774533609,-0.04444444444444451,0.545980438848064
FPC 2,baja,37,0.972972972972973,3.9549025481895344,-0.010360360360360255,0.4978187324115254
FPC 2,media,47,1.0,3.958619977963552,0.01666666666666672,0.541856520178541
FPC 2,alta,36,0.9722222222222222,3.960389842120843,-0.011111111111111072,0.5738484068139788
FPC 3,baja,37,0.918918918918919,3.9644715074046792,-0.022747747747747682,0.576183198975931
FPC 3,media,47,0.9574468085106383,3.9666457138505797,0.015780141843971696,0.5828593737047064
FPC 3,alta,36,0.9444444444444444,3.9712609487980552,0.002777777777777768,0.6163600021582756
FPC 4,baja,37,0.8918918918918919,3.934692428079806,-0.024774774774774744,0.6820512031857555
FPC 4,media,47,0.9361702127659575,3.9378087452611306,0.019503546099290836,0.5529706588624895
FPC 4,alta,36,0.9166666666666666,3.936183322864701,0.0,0.5709540253220917
