metrica,bloque,columna,minimo,maximo,promedio
1. MAE   (L^1),train,mae_f,0.4582927615854282,1.038824156701417,0.7870519509906597
1. MAE   (L^1),test,mae_f,0.6501866896065478,1.1698082389993103,0.8849625931343347
2. RMSE  (L^2),train,rmse_f,0.652634771528199,1.2542244213684692,0.9827542158249053
2. RMSE  (L^2),test,rmse_f,0.8017848080045646,1.4259729470377613,1.1041792224952347
"3. Error maximo (L^inf, prom. por curva)",train,linf_medio,0.8738576111312083,1.636046760120588,1.323501647236697
"3. Error maximo (L^inf, prom. por curva)",test,linf_medio,1.102099834489913,1.928654270831439,1.505290322896677
4. Winkler,train,winkler,3.81403819580364,6.580613740003744,4.655550261555866
4. Winkler,test,winkler,3.836941722349701,8.606771667059961,5.477572413601197
6a. PICP puntual,train,picp,0.8575,1.0,0.9414805555555555
6a. PICP puntual,test,picp,0.7955,1.0,0.911079185520362
6b. PICP simultaneo (curva completa),train,picp_simultaneo,0.55,1.0,0.7963888888888888
6b. PICP simultaneo (curva completa),test,picp_simultaneo,0.4,1.0,0.6766968325791856
7. MPIW,train,mpiw,3.793027334632774,3.9404996217527843,3.8485620066285247
7. MPIW,test,mpiw,3.8125758544273785,4.149409012260506,3.9369604338861888
