kn,hs,condicion,lambda_kn
1,0.5194514902839789,1.0,0.3294038801777769
2,0.6977955735582132,1.2786869464625032,0.2576110447432619
3,0.8157200126313268,1.490706264165234,0.2209716884514714
4,0.8687567928370212,2.261384717576188,0.14566467952911644
5,0.9305547779051503,3.4019867522087353,0.09682691443872081
6,0.9545425052482785,4.926553727002725,0.06686294282599523
7,0.9713973874330406,8.782690515079873,0.037506032987521386
8,1.0036445336104283,16.195480617390775,0.020339246976348552
9,1.0803046438337083,28.616171544882725,0.011511109362100619
10,1.225395874169493,53.46878329992344,0.006160676563931623
11,1.4421040212972185,97.12484441652667,0.0033915511747447994
12,1.6371435701834247,302.5176877934175,0.0010888747781343593
