M,experiment_id,p_covariables,n_variables_diag,rhat_max,ess_min,geweke_max,n_no_converge,converge,ocupacion_media,ocupacion_max,N_trunc,toca_truncamiento,pip_sd_max,contrato_ok,pip_media_activas
1,escenario_50_b_1_r01_m01,1,2,1.0049093093857364,224.0365132049253,2.4931093504471127,1,False,7.268666666666666,35,35,True,0.0,True,1.0
2,escenario_50_b_1_r01_m02,2,8,1.0849103816081938,26.051539889952675,2.4021325107133524,2,False,6.699999999999999,26,35,False,0.0,True,0.5
3,escenario_50_b_1_r01_m03,3,18,1.6362621404026871,3.684956477350472,39.086734310896816,6,False,6.943777777777778,35,35,True,0.3073557475557526,True,0.4062962962962963
4,escenario_50_b_1_r01_m04,4,32,2.9395649916954127,4.209364694956914,21.884946701717343,8,False,7.287416666666667,35,35,True,0.49073210614346396,True,0.31335416666666666
