M,metrica,bloque,banda,razon_vs_mejor
1,5. MPIW,train,FAR (IC del modelo AR),2.2687303792407993
1,5. MPIW,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",2.2739620396455518
1,5. MPIW,train,PSBPM-FD (predictiva bayesiana),1.0
1,5. MPIW,test,FAR (IC del modelo AR),2.275438981801237
1,5. MPIW,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",2.2806861121493145
1,5. MPIW,test,PSBPM-FD (predictiva bayesiana),1.0
1,6. PICP puntual,train,FAR (IC del modelo AR),1.2052919964062714
1,6. PICP puntual,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.2004377150752397
1,6. PICP puntual,train,PSBPM-FD (predictiva bayesiana),68.1951562408516
1,6. PICP puntual,test,FAR (IC del modelo AR),1.317654706530709
1,6. PICP puntual,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.2979957598509393
1,6. PICP puntual,test,PSBPM-FD (predictiva bayesiana),112.29984947902379
1,7. PICPB curva completa,train,FAR (IC del modelo AR),1.0448249024637914
1,7. PICPB curva completa,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.035941090802202
1,7. PICPB curva completa,train,PSBPM-FD (predictiva bayesiana),2.9426261290150184
1,7. PICPB curva completa,test,FAR (IC del modelo AR),1.0613984306292
1,7. PICPB curva completa,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0338622036585838
1,7. PICPB curva completa,test,PSBPM-FD (predictiva bayesiana),2.4561848031305047
1,8. Winkler,train,FAR (IC del modelo AR),1.0032000928815863
1,8. Winkler,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0047155533737582
1,8. Winkler,train,PSBPM-FD (predictiva bayesiana),2.3784399814698913
1,8. Winkler,test,FAR (IC del modelo AR),1.0051644989315371
1,8. Winkler,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0021877934927004
1,8. Winkler,test,PSBPM-FD (predictiva bayesiana),2.531780578808038
1,9. Winkler max promedio,train,FAR (IC del modelo AR),1.0119458390593006
1,9. Winkler max promedio,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.011894336849716
1,9. Winkler max promedio,train,PSBPM-FD (predictiva bayesiana),4.415812790175587
1,9. Winkler max promedio,test,FAR (IC del modelo AR),1.0184546550560338
1,9. Winkler max promedio,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0051525985858594
1,9. Winkler max promedio,test,PSBPM-FD (predictiva bayesiana),4.384757868011696
1,10. Winkler max peor ventana,train,FAR (IC del modelo AR),1.02059417409053
1,10. Winkler max peor ventana,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0243352511162769
1,10. Winkler max peor ventana,train,PSBPM-FD (predictiva bayesiana),2.2951094931461475
1,10. Winkler max peor ventana,test,FAR (IC del modelo AR),1.0395567350506119
1,10. Winkler max peor ventana,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0230054589766506
1,10. Winkler max peor ventana,test,PSBPM-FD (predictiva bayesiana),2.226444663678971
2,5. MPIW,train,FAR (IC del modelo AR),1.595074600732021
2,5. MPIW,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.6006406843915875
2,5. MPIW,train,PSBPM-FD (predictiva bayesiana),1.0
2,5. MPIW,test,FAR (IC del modelo AR),1.5931842326696724
2,5. MPIW,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.5987437198059302
2,5. MPIW,test,PSBPM-FD (predictiva bayesiana),1.0
2,6. PICP puntual,train,FAR (IC del modelo AR),1.1893580460898958
2,6. PICP puntual,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.2950928599932625
2,6. PICP puntual,train,PSBPM-FD (predictiva bayesiana),43.99563330432615
2,6. PICP puntual,test,FAR (IC del modelo AR),1.1271888325056763
2,6. PICP puntual,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.3348185023447623
2,6. PICP puntual,test,PSBPM-FD (predictiva bayesiana),42.83484722789444
2,7. PICPB curva completa,train,FAR (IC del modelo AR),1.0610993533215758
2,7. PICPB curva completa,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.049643391587836
2,7. PICPB curva completa,train,PSBPM-FD (predictiva bayesiana),2.8013425925925928
2,7. PICPB curva completa,test,FAR (IC del modelo AR),1.1028811058222823
2,7. PICPB curva completa,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0
2,7. PICPB curva completa,test,PSBPM-FD (predictiva bayesiana),2.6124124869599985
2,8. Winkler,train,FAR (IC del modelo AR),1.0032346085111148
2,8. Winkler,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.006936716220853
2,8. Winkler,train,PSBPM-FD (predictiva bayesiana),1.5763429852535225
2,8. Winkler,test,FAR (IC del modelo AR),1.0041287443828535
2,8. Winkler,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.005439511039314
2,8. Winkler,test,PSBPM-FD (predictiva bayesiana),1.6332844564515974
2,9. Winkler max promedio,train,FAR (IC del modelo AR),1.014879722427261
