M,metrica,columna,bloque,banda,pct_ventanas_ganadas,n_ventanas,criterio
2,7. PICPB curva completa,picp_simultaneo,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.34814814814814815,540,|valor - nominal|
2,7. PICPB curva completa,picp_simultaneo,train,PSBPM-FD (predictiva bayesiana),0.0,540,|valor - nominal|
2,7. PICPB curva completa,picp_simultaneo,test,FAR (IC del modelo AR),0.39819004524886875,221,|valor - nominal|
2,7. PICPB curva completa,picp_simultaneo,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.6018099547511312,221,|valor - nominal|
2,7. PICPB curva completa,picp_simultaneo,test,PSBPM-FD (predictiva bayesiana),0.0,221,|valor - nominal|
2,8. Winkler,winkler,train,FAR (IC del modelo AR),0.8611111111111112,540,menor es mejor
2,8. Winkler,winkler,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.1388888888888889,540,menor es mejor
2,8. Winkler,winkler,train,PSBPM-FD (predictiva bayesiana),0.0,540,menor es mejor
2,8. Winkler,winkler,test,FAR (IC del modelo AR),0.9140271493212669,221,menor es mejor
2,8. Winkler,winkler,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.08597285067873303,221,menor es mejor
2,8. Winkler,winkler,test,PSBPM-FD (predictiva bayesiana),0.0,221,menor es mejor
2,9. Winkler max promedio,winkler_max_medio,train,FAR (IC del modelo AR),0.5444444444444444,540,menor es mejor
2,9. Winkler max promedio,winkler_max_medio,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.45555555555555555,540,menor es mejor
2,9. Winkler max promedio,winkler_max_medio,train,PSBPM-FD (predictiva bayesiana),0.0,540,menor es mejor
2,9. Winkler max promedio,winkler_max_medio,test,FAR (IC del modelo AR),0.497737556561086,221,menor es mejor
2,9. Winkler max promedio,winkler_max_medio,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.502262443438914,221,menor es mejor
2,9. Winkler max promedio,winkler_max_medio,test,PSBPM-FD (predictiva bayesiana),0.0,221,menor es mejor
2,10. Winkler max peor ventana,winkler_max_glob,train,FAR (IC del modelo AR),0.47962962962962963,540,menor es mejor
2,10. Winkler max peor ventana,winkler_max_glob,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.5203703703703704,540,menor es mejor
2,10. Winkler max peor ventana,winkler_max_glob,train,PSBPM-FD (predictiva bayesiana),0.0,540,menor es mejor
2,10. Winkler max peor ventana,winkler_max_glob,test,FAR (IC del modelo AR),0.5610859728506787,221,menor es mejor
2,10. Winkler max peor ventana,winkler_max_glob,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.43891402714932126,221,menor es mejor
2,10. Winkler max peor ventana,winkler_max_glob,test,PSBPM-FD (predictiva bayesiana),0.0,221,menor es mejor
3,5. MPIW,mpiw,train,FAR (IC del modelo AR),0.0,540,menor es mejor
3,5. MPIW,mpiw,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.0,540,menor es mejor
3,5. MPIW,mpiw,train,PSBPM-FD (predictiva bayesiana),1.0,540,menor es mejor
3,5. MPIW,mpiw,test,FAR (IC del modelo AR),0.0,221,menor es mejor
3,5. MPIW,mpiw,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.0,221,menor es mejor
3,5. MPIW,mpiw,test,PSBPM-FD (predictiva bayesiana),1.0,221,menor es mejor
3,6. PICP puntual,picp,train,FAR (IC del modelo AR),0.5092592592592593,540,|valor - nominal|
3,6. PICP puntual,picp,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.4888888888888889,540,|valor - nominal|
3,6. PICP puntual,picp,train,PSBPM-FD (predictiva bayesiana),0.001851851851851852,540,|valor - nominal|
3,6. PICP puntual,picp,test,FAR (IC del modelo AR),0.6380090497737556,221,|valor - nominal|
3,6. PICP puntual,picp,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.36199095022624433,221,|valor - nominal|
3,6. PICP puntual,picp,test,PSBPM-FD (predictiva bayesiana),0.0,221,|valor - nominal|
3,7. PICPB curva completa,picp_simultaneo,train,FAR (IC del modelo AR),0.6851851851851852,540,|valor - nominal|
3,7. PICPB curva completa,picp_simultaneo,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.3148148148148148,540,|valor - nominal|
3,7. PICPB curva completa,picp_simultaneo,train,PSBPM-FD (predictiva bayesiana),0.0,540,|valor - nominal|
3,7. PICPB curva completa,picp_simultaneo,test,FAR (IC del modelo AR),0.4841628959276018,221,|valor - nominal|
3,7. PICPB curva completa,picp_simultaneo,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.5158371040723982,221,|valor - nominal|
3,7. PICPB curva completa,picp_simultaneo,test,PSBPM-FD (predictiva bayesiana),0.0,221,|valor - nominal|
3,8. Winkler,winkler,train,FAR (IC del modelo AR),0.6944444444444444,540,menor es mejor
3,8. Winkler,winkler,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.3055555555555556,540,menor es mejor
3,8. Winkler,winkler,train,PSBPM-FD (predictiva bayesiana),0.0,540,menor es mejor
3,8. Winkler,winkler,test,FAR (IC del modelo AR),0.7647058823529411,221,menor es mejor
3,8. Winkler,winkler,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.23529411764705882,221,menor es mejor
3,8. Winkler,winkler,test,PSBPM-FD (predictiva bayesiana),0.0,221,menor es mejor
3,9. Winkler max promedio,winkler_max_medio,train,FAR (IC del modelo AR),0.4722222222222222,540,menor es mejor
3,9. Winkler max promedio,winkler_max_medio,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.5277777777777778,540,menor es mejor
3,9. Winkler max promedio,winkler_max_medio,train,PSBPM-FD (predictiva bayesiana),0.0,540,menor es mejor
3,9. Winkler max promedio,winkler_max_medio,test,FAR (IC del modelo AR),0.45248868778280543,221,menor es mejor
3,9. Winkler max promedio,winkler_max_medio,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.5475113122171946,221,menor es mejor
3,9. Winkler max promedio,winkler_max_medio,test,PSBPM-FD (predictiva bayesiana),0.0,221,menor es mejor
3,10. Winkler max peor ventana,winkler_max_glob,train,FAR (IC del modelo AR),0.5685185185185185,540,menor es mejor
3,10. Winkler max peor ventana,winkler_max_glob,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.43148148148148147,540,menor es mejor
3,10. Winkler max peor ventana,winkler_max_glob,train,PSBPM-FD (predictiva bayesiana),0.0,540,menor es mejor
3,10. Winkler max peor ventana,winkler_max_glob,test,FAR (IC del modelo AR),0.4434389140271493,221,menor es mejor
3,10. Winkler max peor ventana,winkler_max_glob,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.5565610859728507,221,menor es mejor
3,10. Winkler max peor ventana,winkler_max_glob,test,PSBPM-FD (predictiva bayesiana),0.0,221,menor es mejor
4,5. MPIW,mpiw,train,FAR (IC del modelo AR),0.0,540,menor es mejor
4,5. MPIW,mpiw,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.0,540,menor es mejor
4,5. MPIW,mpiw,train,PSBPM-FD (predictiva bayesiana),1.0,540,menor es mejor
4,5. MPIW,mpiw,test,FAR (IC del modelo AR),0.0,221,menor es mejor
4,5. MPIW,mpiw,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.0,221,menor es mejor
4,5. MPIW,mpiw,test,PSBPM-FD (predictiva bayesiana),1.0,221,menor es mejor
4,6. PICP puntual,picp,train,FAR (IC del modelo AR),0.4777777777777778,540,|valor - nominal|
4,6. PICP puntual,picp,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.3611111111111111,540,|valor - nominal|
4,6. PICP puntual,picp,train,PSBPM-FD (predictiva bayesiana),0.16111111111111112,540,|valor - nominal|
4,6. PICP puntual,picp,test,FAR (IC del modelo AR),0.502262443438914,221,|valor - nominal|
4,6. PICP puntual,picp,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.497737556561086,221,|valor - nominal|
4,6. PICP puntual,picp,test,PSBPM-FD (predictiva bayesiana),0.0,221,|valor - nominal|
4,7. PICPB curva completa,picp_simultaneo,train,FAR (IC del modelo AR),0.6907407407407408,540,|valor - nominal|
4,7. PICPB curva completa,picp_simultaneo,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.30925925925925923,540,|valor - nominal|
4,7. PICPB curva completa,picp_simultaneo,train,PSBPM-FD (predictiva bayesiana),0.0,540,|valor - nominal|
4,7. PICPB curva completa,picp_simultaneo,test,FAR (IC del modelo AR),0.6742081447963801,221,|valor - nominal|
4,7. PICPB curva completa,picp_simultaneo,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.3257918552036199,221,|valor - nominal|
4,7. PICPB curva completa,picp_simultaneo,test,PSBPM-FD (predictiva bayesiana),0.0,221,|valor - nominal|
4,8. Winkler,winkler,train,FAR (IC del modelo AR),0.6981481481481482,540,menor es mejor
4,8. Winkler,winkler,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.2574074074074074,540,menor es mejor
4,8. Winkler,winkler,train,PSBPM-FD (predictiva bayesiana),0.044444444444444446,540,menor es mejor
4,8. Winkler,winkler,test,FAR (IC del modelo AR),0.416289592760181,221,menor es mejor
4,8. Winkler,winkler,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.583710407239819,221,menor es mejor
4,8. Winkler,winkler,test,PSBPM-FD (predictiva bayesiana),0.0,221,menor es mejor
