metrica,bloque,columna,minimo,maximo,promedio,M
6. PICP puntual,train,picp,0.6573333333333333,0.842,0.7610864197530864,2
6. PICP puntual,test,picp,0.6686666666666666,0.806,0.7488989441930618,2
7. PICPB curva completa,train,picp_simultaneo,0.0,0.15,0.03453703703703703,2
7. PICPB curva completa,test,picp_simultaneo,0.0,0.05,0.018099547511312215,2
8. Winkler,train,winkler,5.192075361185182,10.002400622715664,7.510331173065842,2
8. Winkler,test,winkler,6.047200703022582,10.481809294899524,7.933672012045905,2
9. Winkler max promedio,train,winkler_max_medio,28.77520657340427,51.37492114312922,39.292267500620156,2
9. Winkler max promedio,test,winkler_max_medio,32.38430001371965,51.580590760666475,42.03273085430149,2
10. Winkler max peor ventana,train,winkler_max_glob,57.04606771564322,124.44414279299647,87.59170421216655,2
10. Winkler max peor ventana,test,winkler_max_glob,69.22366464264537,141.7743190903804,91.55015343423227,2
1. MAE  (L^1),train,mae_f,0.6854692523032212,0.9403670587853978,0.8014473038380945,3
1. MAE  (L^1),test,mae_f,0.7564782767991021,0.9583210131638402,0.8344527357483934,3
2. RMSE (L^2),train,rmse_f,0.8527764601685841,1.1833397400817878,1.003597289683466,3
2. RMSE (L^2),test,rmse_f,0.957838750976332,1.1885367537981637,1.0355805007561008,3
3. E_max promedio por curva,train,linf_medio,1.676256975066244,2.2654794647656487,1.928511442469326,3
3. E_max promedio por curva,test,linf_medio,1.7887471883864254,2.2472427059988513,1.982640013861593,3
4. E_max peor de la ventana,train,linf_max,2.345210094972459,4.0078027175332105,3.1103767820808685,3
4. E_max peor de la ventana,test,linf_max,2.662167910475221,3.7111415381791564,3.018719617786419,3
5. MPIW,train,mpiw,3.0290715520264206,3.0980068139168426,3.0651650517423605,3
5. MPIW,test,mpiw,3.0186722221716122,3.107060912075941,3.0633889532873426,3
6. PICP puntual,train,picp,0.778,0.9193333333333333,0.8579135802469136,3
6. PICP puntual,test,picp,0.7793333333333333,0.8853333333333333,0.8444494720965309,3
7. PICPB curva completa,train,picp_simultaneo,0.0,0.3,0.13203703703703706,3
7. PICPB curva completa,test,picp_simultaneo,0.0,0.2,0.08190045248868778,3
8. Winkler,train,winkler,4.382504490069594,7.8021021560973,5.722870979556395,3
8. Winkler,test,winkler,4.836108500478437,7.43599803895426,5.9921785497520546,3
9. Winkler max promedio,train,winkler_max_medio,20.297129484275963,40.296989505721726,29.325905209273355,3
9. Winkler max promedio,test,winkler_max_medio,22.592940708334414,41.60916068308032,31.83681913235678,3
10. Winkler max peor ventana,train,winkler_max_glob,43.882653250138794,112.66543940238112,76.31706363046027,3
10. Winkler max peor ventana,test,winkler_max_glob,55.87141104810593,113.74812688958197,76.90609711668222,3
1. MAE  (L^1),train,mae_f,0.6804963081486822,0.9337965585729678,0.7959868079746928,4
1. MAE  (L^1),test,mae_f,0.7445532233495672,0.9548499282302785,0.8284927178989479,4
2. RMSE (L^2),train,rmse_f,0.8530774689621486,1.1705052259345148,0.9980702785565806,4
2. RMSE (L^2),test,rmse_f,0.942638364790898,1.18718644621519,1.027748796880435,4
3. E_max promedio por curva,train,linf_medio,1.6655285117500873,2.2418040869879796,1.9197099290851902,4
3. E_max promedio por curva,test,linf_medio,1.7607375428345382,2.2391926991796494,1.9696440717308659,4
4. E_max peor de la ventana,train,linf_max,2.4192197398750843,3.960482971536746,3.10242234888102,4
4. E_max peor de la ventana,test,linf_max,2.666789459807763,3.6811661144036547,3.005387179404903,4
5. MPIW,train,mpiw,3.373709045625385,3.456723407705762,3.4149686018363554,4
5. MPIW,test,mpiw,3.3748316031100773,3.454220209407764,3.413848844675401,4
6. PICP puntual,train,picp,0.8466666666666667,0.9553333333333334,0.9070197530864197,4
6. PICP puntual,test,picp,0.842,0.93,0.8953303167420814,4
7. PICPB curva completa,train,picp_simultaneo,0.05,0.55,0.28351851851851856,4
7. PICPB curva completa,test,picp_simultaneo,0.05,0.4,0.21968325791855203,4
8. Winkler,train,winkler,4.048790504437301,7.006281337968858,5.028476672520096,4
8. Winkler,test,winkler,4.366444517093317,6.538590682938294,5.166066916035641,4
9. Winkler max promedio,train,winkler_max_medio,13.082508642520732,32.09265949236882,21.253417804599593,4
9. Winkler max promedio,test,winkler_max_medio,15.976119677273024,33.41944122749097,23.510045041760844,4
10. Winkler max peor ventana,train,winkler_max_glob,38.32602581299886,102.16942649637666,63.64772549158456,4
10. Winkler max peor ventana,test,winkler_max_glob,46.4317583711152,107.63185110537113,66.95236798463462,4
