M,metrica,bloque,modelo,razon_vs_mejor,razon_vs_FAR
3,3. E_max promedio por curva,test,GBT,1.0628275573237873,1.056675012786512
3,3. E_max promedio por curva,test,PSBPM-FD,1.0118663965324974,1.006089395121336
3,4. E_max peor de la ventana,train,FAR,1.2361305541775547,1.0
3,4. E_max peor de la ventana,train,RF,1.149585389412407,0.9346432227687811
3,4. E_max peor de la ventana,train,GBT,1.0090961454858347,0.8337808602379333
3,4. E_max peor de la ventana,train,PSBPM-FD,1.2524126113971428,1.0136462231352552
3,4. E_max peor de la ventana,test,FAR,1.0270753934170502,1.0
3,4. E_max peor de la ventana,test,RF,1.0408269306410252,1.0145877502087577
3,4. E_max peor de la ventana,test,GBT,1.1356587103739133,1.1074593891595204
3,4. E_max peor de la ventana,test,PSBPM-FD,1.0309629152449162,1.004415657529392
4,1. MAE  (L^1),train,FAR,1.6498445198982226,1.0
4,1. MAE  (L^1),train,RF,1.454251371153506,0.8818051295038247
4,1. MAE  (L^1),train,GBT,1.0,0.6090966763887422
4,1. MAE  (L^1),train,PSBPM-FD,1.6629583093854905,1.0080332323273515
4,1. MAE  (L^1),test,FAR,1.013692348706933,1.0
4,1. MAE  (L^1),test,RF,1.0221683211049855,1.0088641661675437
4,1. MAE  (L^1),test,GBT,1.0877912461079158,1.0735799427495925
4,1. MAE  (L^1),test,PSBPM-FD,1.012566925912834,0.9990235949241044
4,2. RMSE (L^2),train,FAR,1.627866694140453,1.0
4,2. RMSE (L^2),train,RF,1.4391372963759992,0.8843411337530489
4,2. RMSE (L^2),train,GBT,1.0,0.6174175964527457
4,2. RMSE (L^2),train,PSBPM-FD,1.6435244846286212,1.0096390226070753
4,2. RMSE (L^2),test,FAR,1.0092565728320004,1.0
4,2. RMSE (L^2),test,RF,1.0187486753419166,1.009648688148622
4,2. RMSE (L^2),test,GBT,1.0832065095894758,1.073448873994105
4,2. RMSE (L^2),test,PSBPM-FD,1.0079995226499148,0.9988258916547051
4,3. E_max promedio por curva,train,FAR,1.4548483505822614,1.0
4,3. E_max promedio por curva,train,RF,1.3203239762396473,0.9080126009667218
4,3. E_max promedio por curva,train,GBT,1.0,0.6905679082939998
4,3. E_max promedio por curva,train,PSBPM-FD,1.4628668461970225,1.0057178344748767
4,3. E_max promedio por curva,test,FAR,1.0082188795179798,1.0
4,3. E_max promedio por curva,test,RF,1.016593846891211,1.0083946187357904
4,3. E_max promedio por curva,test,GBT,1.0725096316398408,1.06370936053006
4,3. E_max promedio por curva,test,PSBPM-FD,1.007049346711527,0.9989281022009406
4,4. E_max peor de la ventana,train,FAR,1.4306689605021297,1.0
4,4. E_max peor de la ventana,train,RF,1.284280222793853,0.9005339614639121
4,4. E_max peor de la ventana,train,GBT,1.0029854735031158,0.7206824510290293
4,4. E_max peor de la ventana,train,PSBPM-FD,1.4478039241021374,1.0109869235957707
4,4. E_max peor de la ventana,test,FAR,1.0291808294071323,1.0
4,4. E_max peor de la ventana,test,RF,1.0511109717218137,1.0222142351147079
4,4. E_max peor de la ventana,test,GBT,1.110176935453616,1.080051013231699
4,4. E_max peor de la ventana,test,PSBPM-FD,1.0250980640650114,0.9965389646483501
