M,covariable,componente,pip
1,fpc_1_lag1,FPC 1,1.0
2,fpc_1_lag1,FPC 1,1.0
2,fpc_1_lag1,FPC 2,0.0
2,fpc_2_lag1,FPC 1,0.0
2,fpc_2_lag1,FPC 2,1.0
3,fpc_1_lag1,FPC 1,1.0
3,fpc_1_lag1,FPC 2,0.21733333333333332
3,fpc_1_lag1,FPC 3,0.0
3,fpc_2_lag1,FPC 1,0.11933333333333335
3,fpc_2_lag1,FPC 2,1.0
3,fpc_2_lag1,FPC 3,0.32
3,fpc_3_lag1,FPC 1,0.0
3,fpc_3_lag1,FPC 2,0.0
3,fpc_3_lag1,FPC 3,1.0
4,fpc_1_lag1,FPC 1,1.0
4,fpc_1_lag1,FPC 2,0.0
4,fpc_1_lag1,FPC 3,0.347
4,fpc_1_lag1,FPC 4,0.0
4,fpc_2_lag1,FPC 1,0.0
4,fpc_2_lag1,FPC 2,1.0
4,fpc_2_lag1,FPC 3,0.0
4,fpc_2_lag1,FPC 4,0.2506666666666667
4,fpc_3_lag1,FPC 1,0.0
4,fpc_3_lag1,FPC 2,0.183
4,fpc_3_lag1,FPC 3,1.0
4,fpc_3_lag1,FPC 4,0.0
4,fpc_4_lag1,FPC 1,0.0
4,fpc_4_lag1,FPC 2,0.0
4,fpc_4_lag1,FPC 3,0.23300000000000004
4,fpc_4_lag1,FPC 4,1.0
