metrica,bloque,M,pct_ventanas_ganadas,n_ventanas
1. MAE  (L^1),train,1,0.014814814814814815,540
1. MAE  (L^1),train,2,0.06111111111111111,540
1. MAE  (L^1),train,3,0.2462962962962963,540
1. MAE  (L^1),train,4,0.29814814814814816,540
1. MAE  (L^1),train,5,0.24259259259259258,540
1. MAE  (L^1),train,6,0.13703703703703704,540
1. MAE  (L^1),test,1,0.02262443438914027,221
1. MAE  (L^1),test,2,0.20361990950226244,221
1. MAE  (L^1),test,3,0.21266968325791855,221
1. MAE  (L^1),test,4,0.09049773755656108,221
1. MAE  (L^1),test,5,0.23076923076923078,221
1. MAE  (L^1),test,6,0.2398190045248869,221
2. RMSE (L^2),train,1,0.007407407407407408,540
2. RMSE (L^2),train,2,0.1537037037037037,540
2. RMSE (L^2),train,3,0.18518518518518517,540
2. RMSE (L^2),train,4,0.24444444444444444,540
2. RMSE (L^2),train,5,0.23333333333333334,540
2. RMSE (L^2),train,6,0.17592592592592593,540
2. RMSE (L^2),test,1,0.004524886877828055,221
2. RMSE (L^2),test,2,0.23529411764705882,221
2. RMSE (L^2),test,3,0.07239819004524888,221
2. RMSE (L^2),test,4,0.24434389140271492,221
2. RMSE (L^2),test,5,0.19457013574660634,221
2. RMSE (L^2),test,6,0.248868778280543,221
3. E_max promedio por curva,train,1,0.15,540
3. E_max promedio por curva,train,2,0.09444444444444444,540
3. E_max promedio por curva,train,3,0.1648148148148148,540
3. E_max promedio por curva,train,4,0.2518518518518518,540
3. E_max promedio por curva,train,5,0.20555555555555555,540
3. E_max promedio por curva,train,6,0.13333333333333333,540
3. E_max promedio por curva,test,1,0.15384615384615385,221
3. E_max promedio por curva,test,2,0.33031674208144796,221
3. E_max promedio por curva,test,3,0.10407239819004525,221
3. E_max promedio por curva,test,4,0.14027149321266968,221
3. E_max promedio por curva,test,5,0.00904977375565611,221
3. E_max promedio por curva,test,6,0.26244343891402716,221
4. E_max peor de la ventana,train,1,0.37592592592592594,540
4. E_max peor de la ventana,train,2,0.08888888888888889,540
4. E_max peor de la ventana,train,3,0.053703703703703705,540
4. E_max peor de la ventana,train,4,0.06296296296296296,540
4. E_max peor de la ventana,train,5,0.19074074074074074,540
4. E_max peor de la ventana,train,6,0.22777777777777777,540
4. E_max peor de la ventana,test,1,0.18552036199095023,221
4. E_max peor de la ventana,test,2,0.18099547511312217,221
4. E_max peor de la ventana,test,3,0.2171945701357466,221
4. E_max peor de la ventana,test,4,0.12669683257918551,221
4. E_max peor de la ventana,test,5,0.1583710407239819,221
4. E_max peor de la ventana,test,6,0.13122171945701358,221
