kn,hs,condicion,lambda_kn,radio_espectral
1,0.397713030601745,1.0,1.2347750784938447,0.39771303060174523
2,0.5187126399837203,2.871401684255954,0.4300251982382615,0.4649597753302843
3,0.5436771109658831,9.733311612648949,0.12686073636943768,0.4650892369989042
4,0.6311263855881731,35.14375202587592,0.03513498153483142,0.46012089676922147
5,0.665948178954163,123.29612705777309,0.01001471098857196,0.4644109443632651
6,1.5738960704641163,527.3303452346498,0.0023415589291460146,0.48686338972799476
7,3.2318422679006367,1586.6889434599482,0.000778208661239728,0.46057461979181996
8,4.309285331212623,1991.579434225248,0.0006199979058200053,0.4583663247596272
9,5.336087894911058,2071.28903361147,0.0005961384714816495,0.4615646512521216
10,5.40265762720338,2496.2883354146766,0.0004946444130576476,0.4576030243175248
