bloque,objetivo,banda,winkler,picp,ee_picp,ace,mpiw,picp_simultaneo
test,curva_suavizada,FAR (IC del modelo AR),1.4541029244137327,0.9511555555555555,0.0014369514751160302,0.0011555555555555763,1.2264645585536553,0.6566666666666666
test,curva_suavizada,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.4719969795445713,0.9538222222222222,0.0013991329158888838,0.0038222222222222824,1.252624393055353,0.6533333333333333
test,curva_suavizada,PSBPM-FD (predictiva bayesiana),1.5427787050400499,0.9215111111111111,0.0017929291144180375,-0.028488888888888897,1.1163140585213094,0.37333333333333335
test,representacion_fpca,FAR (IC del modelo AR),1.3215280923757289,0.9770222222222222,0.000998883810531042,0.02702222222222228,1.2264645585536553,0.8766666666666667
test,representacion_fpca,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.3424011643651808,0.9767111111111111,0.0010054632220073139,0.02671111111111113,1.252624393055353,0.8466666666666667
test,representacion_fpca,PSBPM-FD (predictiva bayesiana),1.2978038220713901,0.9572444444444445,0.0013487033777289184,0.007244444444444498,1.1163140585213094,0.8166666666666667
train,curva_suavizada,FAR (IC del modelo AR),1.4419175143595584,0.953984674329502,0.0009170366596450081,0.003984674329502003,1.2264645585536555,0.6566091954022989
train,curva_suavizada,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.4639554898716216,0.9537164750957854,0.0009195759499430746,0.003716475095785432,1.252624393055353,0.6336206896551724
train,curva_suavizada,PSBPM-FD (predictiva bayesiana),1.527023789548739,0.9178927203065134,0.0012015768241226295,-0.03210727969348659,1.117833639115631,0.34339080459770116
train,representacion_fpca,FAR (IC del modelo AR),1.3295734067659926,0.974808429118774,0.0006858861153103488,0.02480842911877401,1.2264645585536555,0.8477011494252874
train,representacion_fpca,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.354488151230123,0.973448275862069,0.000703667596160086,0.02344827586206899,1.252624393055353,0.8362068965517241
train,representacion_fpca,PSBPM-FD (predictiva bayesiana),1.3101360877157695,0.9529885057471265,0.000926425728011046,0.002988505747126502,1.117833639115631,0.7744252873563219
