componente,n_activas,VP,FP,FN,VN,sensibilidad,especificidad,exactitud,auc,pip_media_activas,pip_media_inactivas
FPC 1,2,1,0,1,0,0.5,0.0,0.5,,0.5135,
FPC 2,2,0,0,2,0,0.0,0.0,0.0,,0.04824999999999999,
