M,experiment_id,p_covariables,n_variables_diag,rhat_max,ess_min,geweke_max,n_no_converge,converge,ocupacion_media,ocupacion_max,N_trunc,toca_truncamiento,pip_sd_max,contrato_ok,pip_media_activas
1,escenario_61_1_r01_m01,1,2,1.0002549098418196,27.44364603438628,2.3175111674706,1,False,2.99025,25,25,True,0.0,True,1.0
2,escenario_61_1_r01_m02,2,8,1.2272573953878916,16.054520942415827,3.2843785231134115,4,False,3.2326250000000005,25,25,True,0.09545941546018392,True,0.8930625
8,escenario_61_1_r01_m08,8,128,1.4538146041631292,3.0598421972232144,51.88533500667907,35,False,1.7503125,24,25,False,0.3807770016689559,True,0.10521875000000001
