M,FPC,cadena,media,max,p99,N_trunc,toca_truncamiento
1,1,1,6.9205,25,16.0,25,True
1,1,2,7.2055,25,16.0,25,True
2,1,1,7.221,25,17.0,25,True
2,1,2,7.7435,25,17.0,25,True
2,2,1,10.9365,25,19.0,25,True
2,2,2,7.354,22,16.0,25,False
3,1,1,7.455,25,17.0,25,True
3,1,2,7.7665,25,18.0,25,True
3,2,1,9.307,25,17.0,25,True
3,2,2,9.575,25,17.0,25,True
3,3,1,9.0735,25,16.0,25,True
3,3,2,8.1355,21,16.0,25,False
4,1,1,7.0735,25,18.0,25,True
4,1,2,8.058,24,17.0,25,False
4,2,1,10.1975,25,18.0,25,True
4,2,2,9.422,25,17.0,25,True
4,3,1,7.703,25,15.0,25,True
4,3,2,8.13,25,15.0,25,True
4,4,1,5.589,20,15.0,25,False
4,4,2,5.11,23,12.0,25,False
