M,covariable,componente,pip
1,fpc_1_lag1,FPC 1,1.0
2,fpc_1_lag1,FPC 1,1.0
2,fpc_1_lag1,FPC 2,0.9485
2,fpc_2_lag1,FPC 1,0.69175
2,fpc_2_lag1,FPC 2,0.932
8,fpc_1_lag1,FPC 1,1.0
8,fpc_1_lag1,FPC 2,0.9802500000000001
8,fpc_1_lag1,FPC 3,0.14175
8,fpc_1_lag1,FPC 4,0.01974999999999999
8,fpc_1_lag1,FPC 5,0.058250000000000024
8,fpc_1_lag1,FPC 6,0.014000000000000012
8,fpc_1_lag1,FPC 7,0.018500000000000016
8,fpc_1_lag1,FPC 8,0.017249999999999988
8,fpc_2_lag1,FPC 1,0.8485
8,fpc_2_lag1,FPC 2,0.9995
8,fpc_2_lag1,FPC 3,0.02975
8,fpc_2_lag1,FPC 4,0.019000000000000017
8,fpc_2_lag1,FPC 5,0.059750000000000025
8,fpc_2_lag1,FPC 6,0.02174999999999999
8,fpc_2_lag1,FPC 7,0.01924999999999999
8,fpc_2_lag1,FPC 8,0.063
8,fpc_3_lag1,FPC 1,0.04250000000000004
8,fpc_3_lag1,FPC 2,0.0665
8,fpc_3_lag1,FPC 3,0.7242500000000001
8,fpc_3_lag1,FPC 4,0.022249999999999992
8,fpc_3_lag1,FPC 5,0.06474999999999997
8,fpc_3_lag1,FPC 6,0.023249999999999993
8,fpc_3_lag1,FPC 7,0.013500000000000012
8,fpc_3_lag1,FPC 8,0.014749999999999985
8,fpc_4_lag1,FPC 1,0.04475000000000001
8,fpc_4_lag1,FPC 2,0.058499999999999996
8,fpc_4_lag1,FPC 3,0.03049999999999997
8,fpc_4_lag1,FPC 4,0.016000000000000014
8,fpc_4_lag1,FPC 5,0.059750000000000025
8,fpc_4_lag1,FPC 6,0.028749999999999998
8,fpc_4_lag1,FPC 7,0.011249999999999982
8,fpc_4_lag1,FPC 8,0.011749999999999983
8,fpc_5_lag1,FPC 1,0.05425000000000002
8,fpc_5_lag1,FPC 2,0.04249999999999998
8,fpc_5_lag1,FPC 3,0.068
8,fpc_5_lag1,FPC 4,0.023749999999999993
8,fpc_5_lag1,FPC 5,0.09600000000000003
8,fpc_5_lag1,FPC 6,0.026249999999999996
8,fpc_5_lag1,FPC 7,0.010499999999999954
8,fpc_5_lag1,FPC 8,0.008999999999999952
8,fpc_6_lag1,FPC 1,0.046750000000000014
8,fpc_6_lag1,FPC 2,0.05349999999999999
8,fpc_6_lag1,FPC 3,0.03450000000000003
8,fpc_6_lag1,FPC 4,0.017249999999999988
8,fpc_6_lag1,FPC 5,0.07350000000000001
8,fpc_6_lag1,FPC 6,0.016249999999999987
8,fpc_6_lag1,FPC 7,0.013000000000000012
8,fpc_6_lag1,FPC 8,0.013749999999999984
8,fpc_7_lag1,FPC 1,0.060250000000000026
8,fpc_7_lag1,FPC 2,0.08300000000000002
8,fpc_7_lag1,FPC 3,0.024749999999999994
8,fpc_7_lag1,FPC 4,0.03375
8,fpc_7_lag1,FPC 5,0.04949999999999999
8,fpc_7_lag1,FPC 6,0.025249999999999995
8,fpc_7_lag1,FPC 7,0.04425000000000001
8,fpc_7_lag1,FPC 8,0.014499999999999957
8,fpc_8_lag1,FPC 1,0.04300000000000004
8,fpc_8_lag1,FPC 2,0.063
8,fpc_8_lag1,FPC 3,0.027500000000000024
8,fpc_8_lag1,FPC 4,0.022499999999999964
8,fpc_8_lag1,FPC 5,0.06024999999999997
8,fpc_8_lag1,FPC 6,0.02250000000000002
8,fpc_8_lag1,FPC 7,0.014999999999999958
8,fpc_8_lag1,FPC 8,0.0030000000000000027
