w,metrica,columna,criterio,bloque,M,n_ventanas,pct_ventanas_ganadas
40,5. MPIW,mpiw,menor es mejor,test,8,261,0.0
40,6. PICP puntual,picp,|valor - nominal|,train,1,660,0.0
40,6. PICP puntual,picp,|valor - nominal|,train,2,660,0.0
40,6. PICP puntual,picp,|valor - nominal|,train,8,660,1.0
40,6. PICP puntual,picp,|valor - nominal|,test,1,261,0.0
40,6. PICP puntual,picp,|valor - nominal|,test,2,261,0.0
40,6. PICP puntual,picp,|valor - nominal|,test,8,261,1.0
40,7. PICPB curva completa,picp_simultaneo,|valor - nominal|,train,1,660,1.0
40,7. PICPB curva completa,picp_simultaneo,|valor - nominal|,train,2,660,0.0
40,7. PICPB curva completa,picp_simultaneo,|valor - nominal|,train,8,660,0.0
40,7. PICPB curva completa,picp_simultaneo,|valor - nominal|,test,1,261,1.0
40,7. PICPB curva completa,picp_simultaneo,|valor - nominal|,test,2,261,0.0
40,7. PICPB curva completa,picp_simultaneo,|valor - nominal|,test,8,261,0.0
40,8. Winkler,winkler,menor es mejor,train,1,660,0.0
40,8. Winkler,winkler,menor es mejor,train,2,660,0.0
40,8. Winkler,winkler,menor es mejor,train,8,660,1.0
40,8. Winkler,winkler,menor es mejor,test,1,261,0.0
40,8. Winkler,winkler,menor es mejor,test,2,261,0.0
40,8. Winkler,winkler,menor es mejor,test,8,261,1.0
40,9. Winkler max promedio,winkler_max_medio,menor es mejor,train,1,660,0.0
40,9. Winkler max promedio,winkler_max_medio,menor es mejor,train,2,660,0.0
40,9. Winkler max promedio,winkler_max_medio,menor es mejor,train,8,660,1.0
40,9. Winkler max promedio,winkler_max_medio,menor es mejor,test,1,261,0.0
40,9. Winkler max promedio,winkler_max_medio,menor es mejor,test,2,261,0.0
40,9. Winkler max promedio,winkler_max_medio,menor es mejor,test,8,261,1.0
40,10. Winkler max peor ventana,winkler_max_glob,menor es mejor,train,1,660,0.0
40,10. Winkler max peor ventana,winkler_max_glob,menor es mejor,train,2,660,0.0
40,10. Winkler max peor ventana,winkler_max_glob,menor es mejor,train,8,660,1.0
40,10. Winkler max peor ventana,winkler_max_glob,menor es mejor,test,1,261,0.0
40,10. Winkler max peor ventana,winkler_max_glob,menor es mejor,test,2,261,0.0
40,10. Winkler max peor ventana,winkler_max_glob,menor es mejor,test,8,261,1.0
