componente,n_activas,VP,FP,FN,VN,sensibilidad,especificidad,exactitud,auc,pip_media_activas,pip_media_inactivas
FPC 1,2,2,0,0,0,1.0,0.0,1.0,,0.993125,
FPC 2,2,2,0,0,0,1.0,0.0,1.0,,1.0,
