t,regimen,p_regimen_0,p_regimen_1,p_regimen_2,p_max,modas_efectivas,z_lag,ambiguo,b_t_realizada,factor_volatil,sep_dinamica,sep_tendencia,separacion,sep_en_sd,bimodal,nivel_curva,bloque
1,1,0.46334490490570335,0.4342542702678641,0.10240082482643253,0.46334490490570335,2.4169114129613414,-0.1469974104375261,1,0.0,1.0,,0.0,,,0,-0.5407568020424887,train
2,1,0.6381420135340555,0.3185474023559369,0.043310584110007544,0.6381420135340555,1.9585819318123037,-0.2583742181498178,1,0.021776708874168285,1.0,0.627950250692361,0.02173902066869219,0.6496892713610531,0.6496892713610531,0,0.9461646922024901,train
3,0,0.9939187781182955,0.006026219976702052,5.5001905002405316e-05,0.9939187781182955,1.0122370799752303,-0.7968489485932235,0,0.00015075282190438503,1.0,1.1663654943950088,0.04339554905856231,1.209761043453571,1.209761043453571,0,1.1996232611821394,train
4,1,0.6030297678059146,0.34448255187849885,0.05248768031558659,0.6030297678059146,2.061566260232198,-0.2352992912081593,1,0.06530166712115001,1.0,1.4321024641639524,0.06496247327186515,1.4970649374358176,1.4970649374358176,1,-0.5405080942830162,train
5,2,0.008761172105703114,0.14615831263993376,0.8450805152543631,0.8450805152543631,1.3594343130853224,0.42388999552446804,0,0.04501963352146692,1.0,0.6893084733571367,0.08643268934888987,0.7757411627060267,0.7757411627060267,0,1.7574407635497478,train
6,1,0.7972935174336697,0.18851647208172218,0.014190010484608107,0.7972935174336697,1.4893878814159387,-0.3779982192342713,0,0.10874131036834311,1.0,1.9726058342350052,0.1077991052314407,2.080404939466446,2.080404939466446,0,0.0991597923143369,train
7,2,0.0022134957257895892,0.06642389554006627,0.9313626087341441,0.9313626087341441,1.1469818963309133,0.5415041005790175,0,0.06615036759130036,1.0,0.3296120075722998,0.12905464471967776,0.45866665229197756,0.45866665229197756,0,0.22484697712184218,train
8,1,0.16539678817773307,0.48540400036148534,0.3491992114607816,0.48540400036148534,2.597988120552452,0.0731291672463968,1,0.15203897348843837,1.0,0.22949698570868202,0.15019225142010964,0.37968923712879166,0.37968923712879166,0,-0.718549050159198,train
9,2,0.0019018002259900174,0.0606122019595254,0.9374859978144846,0.9374859978144846,1.1330707114526333,0.5535016751317731,0,0.08645761373057753,1.0,1.019623860410845,0.17120489268253627,1.1908287530933812,1.1908287530933812,0,1.7133123274282143,train
10,0,0.6336842647748439,0.32190309688607954,0.044412638339076604,0.6336842647748439,1.9718038608005444,-0.255406798137249,1,0.0030527446435637965,1.0,1.9221733951002895,0.1920855635237439,2.1142589586240335,2.1142589586240335,1,0.35779263767713737,train
11,0,0.978170958888692,0.021463113543059853,0.00036592756824815886,0.978170958888692,1.044627288435387,-0.6743397030730887,0,0.003768820547609625,1.0,0.5934094777065002,0.2128272905357645,0.8062367682422646,0.8062367682422646,0,-0.7892984429181786,train
12,1,0.17678330438757606,0.49045738317726284,0.3327593124351611,0.49045738317726284,2.6141771854981117,0.061923361681028424,1,0.23798340863912615,1.0,0.8678352261472047,0.2334231357765185,1.101258361923723,1.101258361923723,1,0.6186514782691562,train
13,1,0.41338952062858847,0.45970996901619665,0.12690051035521488,0.45970996901619665,2.5104945519216133,-0.11529139753371451,1,0.2592933022292282,1.0,0.4956588263851278,0.25386620064067034,0.7495250270257982,0.7495250270257982,0,0.8503419607449347,train
14,1,0.6860595971512575,0.2814006650267975,0.03253973782194497,0.6860595971512575,1.8151358892771239,-0.29117794621399384,1,0.28051893643399634,1.0,0.660771527724706,0.27414962970853607,0.9349211574332421,0.9349211574332421,0,0.0947910292126715,train
15,0,0.9254511190814556,0.07201524344019261,0.00253363747835178,0.9254511190814556,1.1605608171511363,-0.5306814203387179,0,0.007386888273314866,1.0,0.4023047085855105,0.29426661457089837,0.6965713231564088,0.6965713231564088,0,0.10884488129518623,train
16,0,0.9907962661761288,0.00910305942172096,0.00010067440215022483,0.9907962661761288,1.0185787574697607,-0.7593295423661696,0,0.008479846232121656,1.0,0.50073476520397,0.31421039762759134,0.8149451628315614,0.8149451628315614,0,0.11172249083260544,train
17,0,0.5119106959821781,0.40580362580184637,0.08228567821597554,0.5119106959821781,2.3068046694080526,-0.17746503101872801,1,0.009648180601880642,1.0,0.1765533827055518,0.33397427585773876,0.5105276585632905,0.5105276585632905,0,0.04567977176321887,train
18,1,0.4802732860843244,0.42471880045571875,0.09500791345995685,0.4802732860843244,2.380527329824038,-0.15763307337798588,1,0.36444349594213277,1.0,0.11923872238935176,0.35355160455954093,0.47279032694889267,0.47279032694889267,0,-0.20538016948548976,train
19,0,0.3060691188094078,0.4970946766099349,0.19683620458065731,0.4970946766099349,2.6348661895326804,-0.04324409214972318,1,0.012210978574255186,1.0,0.6790531188970658,0.37293580105752394,1.0519889199545898,1.0519889199545898,1,-0.8701470847700008,train
20,2,0.027586513440113137,0.2610026109640243,0.7114108755958626,0.7114108755958626,1.7391642726586922,0.3093777854297581,1,0.18588235198289177,1.0,0.9812430319965351,0.392120348375182,1.3733633803717171,1.3733633803717171,1,1.920194040799799,train
21,1,0.9089280381257208,0.08754389019653108,0.003528071677748157,0.9089280381257208,1.199290175895856,-0.5035457238764846,0,0.42617408106140453,1.0,1.9742555055580364,0.411098798870966,2.3853543044290024,2.3853543044290024,0,1.1263484510520436,train
22,2,0.047627192187898335,0.3312963827595375,0.6210764250525642,0.6210764250525642,2.008993991182441,0.24707727250317194,1,0.2020853164672683,1.0,0.722116938844744,0.4298647778355875,1.1519817166803317,1.1519817166803317,1,-1.2525580045566056,train
23,1,0.32711916804175395,0.4920275214584345,0.18085331049981157,0.4920275214584345,2.619131511820727,-0.05802949183313313,1,0.46665307849906223,1.0,1.6196115437922503,0.44841198704863167,2.068023530840882,2.068023530840882,1,0.8548537086354436,train
