variable,FPC 1,FPC 1_sd,FPC 2,FPC 2_sd,FPC 3,FPC 3_sd
fpc_1_lag1,1.0,0.0,1.0,0.0,1.0,0.0
fpc_2_lag1,0.7757499999999999,0.04348706704297267,1.0,0.0,1.0,0.0
fpc_3_lag1,0.018500000000000016,0.0007071067811865482,0.027749999999999997,0.00035355339059331333,0.9065,0.04737615433949865
