-6.360433925694476187e+00,-5.208363005641300170e+00,-1.473770607693493107e+00
-5.177549295737176038e+00,-2.939577907917432231e+00,-1.143409178488686423e-01
-4.170395471250122554e+00,-1.095215261888681901e+00,8.772564706265605361e-01
-3.324902067093657987e+00,3.618347684334183856e-01,1.538928294218667503e+00
-2.626998698128117926e+00,1.468682019037337971e+00,1.908581289413323390e+00
-2.062614979213847288e+00,2.262436325911542312e+00,2.024122192696403033e+00
-1.617680525211185882e+00,2.780207525044500638e+00,1.923457740553776274e+00
-1.278124950980473074e+00,3.059105452424678795e+00,1.644494669471315396e+00
-1.029877871382051113e+00,3.136239944040545069e+00,1.225139715934892903e+00
-8.588689012762601438e-01,3.048720835880567748e+00,7.032996164303843001e-01
-7.510276555234407514e-01,2.833657963933213342e+00,1.168811074436570258e-01
-6.922837489839338554e-01,2.528161164186948362e+00,-4.962090745394133751e-01
-6.685667965180804861e-01,2.169340272630242872e+00,-1.098064193032955993e+00
-6.658064129862208969e-01,1.794305125251562272e+00,-1.650777511551097865e+00
-6.699322132486960069e-01,1.440165558039374405e+00,-2.116442293607967429e+00
-6.684546253817607031e-01,1.139557404533154905e+00,-2.462452891148660061e+00
-6.586397442061783236e-01,8.975061035292840605e-01,-2.688918243518657825e+00
-6.414715030319912970e-01,7.085149028792910864e-01,-2.808414664706640806e+00
-6.179411537489463146e-01,5.670663374604035800e-01,-2.833543010777366256e+00
-5.890399482467892911e-01,4.676429421498479178e-01,-2.776904137795585648e+00
-5.557591384152661407e-01,4.047272518248516415e-01,-2.651098901826054455e+00
-5.190899761441235549e-01,3.728018013626420157e-01,-2.468728158933524597e+00
-4.800237133231072262e-01,3.663491256404460827e-01,-2.242392765182750658e+00
-4.395516018419637350e-01,3.798517595354912180e-01,-1.984693576638487444e+00
-3.986648935904389401e-01,4.077922379250044638e-01,-1.708231449365487320e+00
-3.583548404582793112e-01,4.446530956862131956e-01,-1.425607239428504425e+00
-3.196126943352306515e-01,4.849168676963446223e-01,-1.149421802892291566e+00
-2.834297071110393751e-01,5.230660888326257307e-01,-8.922759958216036624e-01
-2.507971306754517293e-01,5.535832939722838963e-01,-6.667706742811944087e-01
-2.226199819061336072e-01,5.713811944041469193e-01,-4.844621303850982219e-01
-1.989561049220738287e-01,5.755985544846095037e-01,-3.466448599954760068e-01
-1.793824974149018925e-01,5.677728022411516751e-01,-2.487888703852773886e-01
-1.634706380354740696e-01,5.494688969915965115e-01,-1.862973167346055337e-01
-1.507920054346466032e-01,5.222517980537667581e-01,-1.545733542235631919e-01
-1.409180782632756535e-01,4.876864647454851598e-01,-1.490201380322531410e-01
-1.334203351722175190e-01,4.473378563845746836e-01,-1.650408233407782144e-01
-1.278702548123283878e-01,4.027709322888581855e-01,-1.980385653292413561e-01
-1.238393158344644612e-01,3.555506517761581886e-01,-2.434165191777453441e-01
-1.208989968894820105e-01,3.072419741642977709e-01,-2.965778400663929837e-01
-1.186207766282372789e-01,2.594098587710997328e-01,-3.529256831752874968e-01
-1.165761337015863985e-01,2.136192649143867917e-01,-4.078632036845311060e-01
-1.143365467603857238e-01,1.714351519119818312e-01,-4.567935567742273939e-01
-1.114734944554914287e-01,1.344224790817080684e-01,-4.951198976244784444e-01
-1.075770577838758985e-01,1.040751067985092870e-01,-5.184465960628112935e-01
-1.025497790249314256e-01,8.069265538117040282e-02,-5.257577991976950527e-01
-9.655347065704435183e-02,6.358380363210897057e-02,-5.188420832860645149e-01
-8.975779302336871213e-02,5.202723548721568947e-02,-4.995729120142365365e-01
-8.233240646705851373e-02,4.530163488238121011e-02,-4.698237490685278073e-01
-7.444697133126798594e-02,4.268568575349626637e-02,-4.314680581352559052e-01
-6.627114795915102496e-02,4.345807203645155048e-02,-3.863793029007368540e-01
-5.797459669386174907e-02,4.689747766713783100e-02,-3.364309470512876765e-01
-4.972697787855417245e-02,5.228258658144578630e-02,-2.834964542732252291e-01
-4.169795185638250357e-02,5.889208271526606697e-02,-2.294492882528671451e-01
-3.405717897050070803e-02,6.600465000448939301e-02,-1.761629126765296149e-01
-2.697431956406275838e-02,7.289897238500660237e-02,-1.255107912305288842e-01
-2.061903398022288045e-02,7.885373379270828320e-02,-7.936638760118293334e-02
-1.516098256213500341e-02,8.314761816348517631e-02,-3.960316547480770971e-02
-1.076605605361508934e-02,8.507321289335130488e-02,-8.057588099989377098e-03
-7.475608805527627146e-03,8.438243450535788670e-02,1.465626610640715678e-02
-5.180909269160211515e-03,8.138076321265132196e-02,2.939748430386115996e-02
-3.764290549221023258e-03,7.640663557830001951e-02,3.711285839314067136e-02
-3.108085750418180301e-03,6.979848816537231881e-02,3.874918027501422085e-02
-3.094627977459836130e-03,6.189475753693667037e-02,3.525324185025016654e-02
-3.606250335054132523e-03,5.303388025606129569e-02,2.757183501961676247e-02
-4.525285927909194345e-03,4.355429288581478403e-02,1.665175168388263738e-02
-5.734067860733173781e-03,3.379443198926543324e-02,3.439783743816070011e-03
-7.114929238234224754e-03,2.409273412948144399e-02,-1.111727689981476322e-02
-8.550203165120465187e-03,1.478763586953146109e-02,-2.607263834624114554e-02
-9.922222746100066784e-03,6.217573772483631425e-03,-4.047950869469505580e-02
-1.111332108588112925e-02,-1.279015598593475451e-03,-5.339109604440775425e-02
-1.200583128917183211e-02,-7.363695680631636084e-03,-6.386060849461115685e-02
-1.248279350213608863e-02,-1.170034684655810175e-02,-7.094679766818130784e-02
-1.248884885777392338e-02,-1.415471251792981867e-02,-7.419139468553791195e-02
-1.207716935254979015e-02,-1.494818579165094370e-02,-7.398706154655970701e-02
-1.131197450567493837e-02,-1.433836188955915289e-02,-7.081307780807361008e-02
-1.025748383636058449e-02,-1.258283603349212403e-02,-6.514872302690652428e-02
-8.977916863817984872e-03,-9.939203445287578265e-03,-5.747327675988544993e-02
-7.537493107258375936e-03,-6.665059346783210742e-03,-4.826601856383733180e-02
-6.000432085892966338e-03,-3.017998959816641132e-03,-3.800622799558894122e-02
-4.430953318933035859e-03,7.443824937743203978e-04,-2.717318461196748663e-02
-2.893276325589784481e-03,4.364489792152093962e-03,-1.624616796979964570e-02
-1.451620625074484831e-03,7.584727713478885656e-03,-5.704457625912622530e-03
-1.702057365983448338e-04,1.014750103591708502e-02,3.972666862866900891e-03
8.867488206273753263e-04,1.179521453762893274e-02,1.230592593971177422e-02
1.655023527391446961e-03,1.227027299677677617e-02,1.881604004779513853e-02
2.070467804444198201e-03,1.131540730983527678e-02,2.302417042486624293e-02
2.103952573007926777e-03,8.839016475967735598e-03,2.467540195335291703e-02
1.818245723063101598e-03,5.184215204738620852e-03,2.410239868567646410e-02
1.291006176286957829e-03,7.645597611864520275e-04,2.173303630270430331e-02
5.998928543567051555e-04,-4.006393589650440908e-03,1.799519048530373935e-02
-1.774353210504209602e-04,-8.715088582733532610e-03,1.331673691434221742e-02
-9.633194282572003428e-04,-1.294796895302444475e-02,8.125551270687094221e-03
-1.680100545586422304e-03,-1.629147843548479566e-02,2.849509235205661007e-03
-2.250119751360846448e-03,-1.833206076507607959e-02,-2.083513511234589763e-03
-2.595718123903265149e-03,-1.865615967675993483e-02,-6.245641287766407618e-03
-2.639236741536446062e-03,-1.685021890549790943e-02,-9.208998413522314838e-03
-2.303016682583172887e-03,-1.250068218625160522e-02,-1.054570920763501021e-02
-1.509399025366211546e-03,-5.193993253982502611e-03,-9.827897989237100590e-03
-1.807248482083585847e-04,5.483404156347664732e-03,-6.627689077461237921e-03
1.760664770567614600e-03,1.994506630977737130e-02,-5.172067914400581105e-04
