2.076467498770946662e-02,1.232217250124191879e-02,2.635902894151827963e-03,1.700751554912992801e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.232217250124191879e-02,3.163183149659461180e-02,2.232155036044018714e-02,4.931963981910513981e-03,4.251735379819584506e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.635902894151827963e-03,2.232155036044018714e-02,4.668370267078481017e-02,3.208616732973323948e-02,3.387188905192559107e-03,2.834386717554085748e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.700751554912992801e-04,4.931963981910513981e-03,3.208616732973323948e-02,6.848071765795861465e-02,3.375851149160684350e-02,3.401362307951281451e-03,2.834344531909199216e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.251735379819584506e-05,3.387188905192559107e-03,3.375851149160684350e-02,6.848070180525513140e-02,3.375851563899130714e-02,3.401362307951279283e-03,2.834386717554080666e-05,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.834386717554085748e-05,3.401362307951281451e-03,3.375851563899130714e-02,6.848070180525518691e-02,3.375851149160687126e-02,3.387188905192559975e-03,4.251735379819589249e-05,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.834344531909199216e-05,3.401362307951279283e-03,3.375851149160687126e-02,6.848071765795862853e-02,3.208616732973323948e-02,4.931963981910516583e-03,1.700751554912994427e-04
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.834386717554080666e-05,3.387188905192559975e-03,3.208616732973323948e-02,4.668370267078481711e-02,2.232155036044019408e-02,2.635902894151829698e-03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.251735379819589249e-05,4.931963981910516583e-03,2.232155036044019408e-02,3.163183149659462567e-02,1.232217250124192920e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.700751554912994427e-04,2.635902894151829698e-03,1.232217250124192920e-02,2.076467498770947356e-02
