componente,n_activas,VP,FP,FN,VN,sensibilidad,especificidad,exactitud,auc,pip_media_activas,pip_media_inactivas
FPC 1,3,3,0,0,0,1.0,0.0,1.0,,1.0,
FPC 2,3,3,0,0,0,1.0,0.0,1.0,,0.8333333333333334,
FPC 3,3,3,0,0,0,1.0,0.0,1.0,,1.0,
