M,puesto_PSBPM,de_n_modelos,n_que_lo_superan,MISE_PSBPM,MISE_mejor,mejor_modelo,MISE_VAR,MISE_truncamiento,piso_sobre_PSBPM,far_hs,far_hs_referencia,var_explicada
1,3,7,2,8.974877728009403,8.227954487609477,VAR,8.227954487609477,0.31334988850456674,0.03491411225878246,0.31585070142101107,0.70,0.9649209667849066
2,3,7,2,7.126802333325849,6.9322202490738825,VAR,6.9322202490738825,0.06896273676931061,0.009676532832520405,1.796802351403765,0.70,0.9933611652350642
3,3,7,2,7.624286921209192,6.673885196925757,VAR,6.673885196925757,0.006409209974040838,0.0008406307422943042,2.373419584957497,0.70,0.9994941859024344
