bloque,M,p_covariables,var_explicada,RMSE_scores,R2_scores,CRPS,Cob_scores,Ancho_scores,PIT_ks_max,MISE,MISE_truncamiento,razon_MISE_piso,RMSE_f,energy,Cob_puntual,ancho_funcional
test,1,1,0.9649209667849066,1.1474079136101665,-0.14683428804649545,0.6550184786753743,0.975,4.308411663224299,0.24917777777777778,8.974877728009403,0.31334988850456674,28.64171348788785,2.99581002869164,15.43974934452042,0.9636666666666667,10.804482896425041
test,2,2,0.9933611652350642,1.068208992925399,0.05455951993247443,0.6039190831175555,0.9333333333333333,4.034241282828153,0.22704444444444438,7.126802333325849,0.06896273676931061,103.34280028888553,2.6696071496244254,13.551886316738212,0.9623333333333334,10.448131453551516
test,3,3,0.9994941859024344,1.1320276373358233,-0.026848763685937693,0.6435291649358653,0.9138888888888889,4.048243601578805,0.22504444444444444,7.624286921209192,0.006409209974040838,1189.5829520470961,2.7612111330373112,13.991437473112619,0.9732222222222222,10.675190644490655
train,1,1,0.9649209667849066,0.9425161365907816,0.11377610545305938,0.4781215077412926,0.9498207885304659,4.031870057570036,0.04119139784946235,5.98252542683447,0.2380235415808888,25.134175330306128,2.4459201595380153,11.333165595168072,0.9434647550776583,10.147547106711096
train,2,2,0.9933611652350642,0.9209734977042873,0.1486434307448905,0.49412019298332477,0.9587813620071685,3.8486507719269154,0.05863010752688175,4.928312955683817,0.046438685889386884,106.12515968739193,2.2199803953377195,10.275364218603098,0.9614814814814815,9.536185738345383
train,3,3,0.9994941859024344,0.9499428370146582,0.09540876770800148,0.517332296752152,0.959378733572282,3.9434690306886697,0.05602007168458781,5.112020418737087,0.00611188768344575,836.406145450474,2.260977757240678,10.412657628143021,0.9624850657108721,9.82954707261946
