t,quiebre,quiebre_idx,en_adaptacion,nivel_curva,energia_curva,a_fourier_1,a_fourier_2
1,1,0,False,-0.9339090738689757,1.3765950492671293,-0.9339090738689757,-0.7401462790175639
2,1,0,False,-0.17283932422641848,0.6028782614121388,-0.1728393242264185,-0.6056463015496859
3,1,0,False,-0.21366571217283295,0.6094366216813396,-0.21366571217283292,-0.7792077822428197
4,1,0,False,0.10052203816636854,1.0402984232554418,0.10052203816636854,0.24658846048059568
5,1,0,False,0.13000805277533067,0.9096259940709899,0.13000805277533065,-0.38638641601639356
6,1,0,False,0.06168896578466067,1.8439435252228182,0.06168896578466062,0.10982016006924039
7,1,0,False,0.9225836610845398,1.3431451560885077,0.9225836610845398,-0.41800689258201523
8,1,0,False,-1.6875880080632804,3.620088424523758,-1.6875880080632804,-0.030571221925699055
9,1,0,False,-1.4549609448053387,3.052346198225361,-1.4549609448053387,-0.06371593753942066
10,1,0,False,-0.879047285611689,2.5122807004788053,-0.8790472856116891,0.28617431092093826
11,1,0,False,-0.28538906714839546,1.127597846371515,-0.28538906714839546,0.21190724144408282
12,1,0,False,-0.39390936897051637,2.892684504285942,-0.3939093689705164,0.8525961031651288
13,1,0,False,-0.35822793163439154,4.254412597309074,-0.3582279316343915,1.2847353529191645
14,1,0,False,-0.7115041968815511,2.450237081016016,-0.711504196881551,0.654687826012132
15,1,0,False,-1.3959987917369658,3.6423515860095304,-1.3959987917369658,0.4190088584750663
16,1,0,False,-1.7127285141718873,3.2888667590758667,-1.7127285141718875,-0.8239121701994869
17,1,0,False,-1.2220463735133573,1.7791936260117962,-1.222046373513357,-1.108123696608558
18,1,0,False,-0.6887691792928664,0.8327188147873974,-0.6887691792928663,-1.0068485641933589
19,1,0,False,-1.0914050941197142,1.7701833136947234,-1.091405094119714,-0.6764434442158135
20,1,0,False,-0.41200054484266807,0.8124037993755375,-0.412000544842668,-0.6041506902669714
21,1,0,False,-0.21639345349331793,0.5491163743908758,-0.2163934534933179,-1.2589605059188231
22,1,0,False,0.4869898527452917,0.8589978887305443,0.4869898527452917,-1.2821240951382897
23,1,0,False,-0.14222205420969544,0.31999077774040413,-0.14222205420969541,-0.8229800608737187
24,1,0,False,0.20595487298247164,0.3037698357646881,0.20595487298247162,-0.545271164229495
25,1,0,False,-0.4784191060263873,0.838073385203841,-0.47841910602638726,-0.7160033032391497
26,1,0,False,0.22792078414559963,0.7357611175203321,0.22792078414559963,-0.3662562217139866
27,1,0,False,-0.7044728389227682,0.9269751662270923,-0.704472838922768,-0.6293187407415197
28,1,0,False,-1.0944402843414307,1.816010984786783,-1.0944402843414307,-0.3801007574307509
29,1,0,False,-0.43445782628783824,0.5945970604508019,-0.4344578262878382,-0.856689792690707
30,1,0,False,-0.978963774393285,1.091557129906261,-0.978963774393285,-0.9209669325273117
31,1,0,False,-0.17914533736825777,0.21930167064164602,-0.17914533736825777,-0.8156529311179466
32,1,0,False,-0.6331076738302109,1.336757044150653,-0.6331076738302108,-1.566277997144693
33,1,0,False,-0.4047264241150383,1.873994445163741,-0.40472642411503834,-1.9371000394793603
34,1,0,False,-1.8600665734405328,5.392858994585879,-1.8600665734405328,-1.9554118789183175
35,1,0,False,-0.6252482088929071,1.5597836650687944,-0.625248208892907,-1.6228174264650155
36,1,0,False,-0.772073289371506,2.2584014837581865,-0.7720732893715059,-1.9528003405805778
37,1,0,False,-0.6491389889727088,1.6858903520304185,-0.6491389889727088,-1.4190129017837934
38,1,0,False,-0.21376360891669097,1.0854341547724646,-0.21376360891669097,-1.5492576222608332
39,1,0,False,-0.2338207470156084,0.9814284133116054,-0.23382074701560834,-1.3888513843462564
40,1,0,False,-1.0555668046892839,1.626564723154012,-1.0555668046892839,-1.1600682464343715
41,1,0,False,-1.8358866498803854,4.005982972031139,-1.8358866498803854,-1.2979409762031577
42,1,0,False,-1.4881639773360384,2.800125573501741,-1.4881639773360387,-0.8570599680798883
43,1,0,False,0.0911919237887937,0.17748948731311331,0.0911919237887937,-0.5435557196511016
44,1,0,False,-1.133802173121146,1.4784047835478082,-1.1338021731211463,-0.8500049964541833
45,1,0,False,-1.7547996038799785,3.571126100987165,-1.7547996038799787,-1.2702998903903924
46,1,0,False,-0.7797457846495278,0.7099463640843249,-0.7797457846495279,-0.7034252936599367
47,1,0,False,-0.15497756904912907,0.37358004977205955,-0.15497756904912907,-0.8633765688744917
48,1,0,False,-1.3761336778399214,3.032849731941765,-1.3761336778399214,-0.9452864109039548
49,1,0,False,-0.734947326543716,1.2542901378079019,-0.7349473265437159,-0.9358921728916059
50,1,0,False,0.22926887895634282,0.19306989758585968,0.22926887895634285,-0.5138059115494955
51,1,0,False,0.07423835963898262,0.48725086140201085,0.0742383596389826,-0.33238571037412645
52,1,0,False,1.4885257071949445,2.887063928220219,1.4885257071949447,-0.6943732772242238
53,1,0,False,1.1962388393223526,2.648236091264897,1.1962388393223529,-1.4369966231651243
54,1,0,False,2.192296438824965,5.830865890243998,2.192296438824965,-0.24918759801740586
55,1,0,False,1.277912877723705,3.0703378173273173,1.277912877723705,-0.08325658932831803
56,1,0,False,0.627865701062451,1.3710910514237462,0.6278657010624511,-0.9489778030765761
57,1,0,False,1.197464100289875,2.4492767113471854,1.197464100289875,-1.4138579613388664
58,1,0,False,0.25659542209037023,0.95579857359735,0.25659542209037023,-0.7801483436517372
59,1,0,False,0.4628122134457065,2.3133137098027707,0.46281221344570644,-1.6924806332320785
60,1,0,False,1.2300163818439027,2.66633216617746,1.2300163818439027,-0.9112707381086963
61,1,0,False,1.8683105502400095,4.596944743825908,1.8683105502400092,-0.005481830170165569
62,1,0,False,-0.0790347887794966,0.4652046181796764,-0.07903478877949666,-0.5250429695827569
63,1,0,False,-1.017383834733028,1.6577175313210921,-1.017383834733028,-0.16885212952522963
64,1,0,False,0.7643402901190602,1.4503817392676477,0.7643402901190602,0.04863537400211469
65,1,0,False,0.7738534706305042,1.8957217793783558,0.7738534706305044,0.20150395613952823
66,1,0,False,0.5081514058670173,1.2974927246043515,0.5081514058670173,0.14731514270976392
67,1,0,False,-0.054037500110880037,3.5095917098386487,-0.0540375001108801,0.991397608281664
68,1,0,False,0.48326887722697937,1.8512717237216867,0.4832688772269793,0.3316385707276295
69,1,0,False,-0.17087300969886213,2.950473282613832,-0.17087300969886204,0.6179373447616947
70,1,0,False,0.018070171763030916,2.152896412018012,0.01807017176303094,0.5401119658445872
71,1,0,False,0.39510630656657214,2.7618215909408623,0.3951063065665721,0.30986992517361756
72,1,0,False,-0.7139198538784908,2.4518259417540387,-0.7139198538784908,0.12769537695491445
73,1,0,False,-0.4683071513377169,1.4115055891965438,-0.46830715133771683,-0.8667064952743189
74,1,0,False,0.8570289588373168,1.8274214132576438,0.8570289588373168,0.06801298252980614
75,1,0,False,0.8384036213838345,3.2085328554363874,0.8384036213838346,0.4578473560350406
76,1,0,False,0.6129176864420048,1.7615322857158462,0.612917686442005,0.15255209773576764
77,1,0,False,0.7533369417915938,4.202365540674775,0.7533369417915938,1.010532286330329
78,1,0,False,-0.06134256043160337,3.4747899913304257,-0.061342560431603355,0.8574147014865826
79,1,0,False,-0.8594658649058262,3.924971059886197,-0.8594658649058261,0.632897675930566
80,1,0,False,-0.7667758183645367,1.457512910824207,-0.7667758183645368,0.12039793455506065
81,1,0,False,-0.6341844710487626,2.085853523237552,-0.6341844710487627,0.05473123451875708
82,1,0,False,-0.6026562640997625,1.6002956698385007,-0.6026562640997625,0.0892710826181618
83,1,0,False,-0.4937715135921655,0.9188760318418056,-0.4937715135921656,-0.7972348008717401
84,1,0,False,-0.23310620737146687,2.085431547318855,-0.23310620737146698,-0.15509921586821757
85,1,0,False,-0.7970130601898514,1.422183881998303,-0.7970130601898515,-0.7565055894049654
86,1,0,False,0.1504255817961603,1.0438369234190912,0.1504255817961604,-1.6639878791669505
87,1,0,False,0.474464538020679,2.1367642980446178,0.474464538020679,-1.9148802558307099
88,1,0,False,0.6631095959309772,2.856413311549775,0.6631095959309772,-2.1302721953904724
89,1,0,False,0.7271915695588815,1.6709159774054878,0.7271915695588815,-1.4849319167261696
90,1,0,False,-0.22378515785409414,0.2924793650287225,-0.22378515785409414,-0.7579853823189054
91,1,0,False,-1.275411115952009,2.0315957146701695,-1.2754111159520087,-0.9577985012189933
92,1,0,False,-0.9046954525411998,1.2228451754327643,-0.9046954525411999,-1.049452195270209
93,1,0,False,0.3152554976269874,0.6048229439428744,0.31525549762698724,-1.0883458779438915
94,1,0,False,0.017932894987186292,0.9877370423040791,0.017932894987186226,-1.3252968124719469
95,1,0,False,-0.833341859709249,1.3017636268089137,-0.833341859709249,-0.7775222862089426
96,1,0,False,-0.8998531225928935,2.1148570972303613,-0.8998531225928936,-0.12154277618817633
97,1,0,False,-1.3891255917511878,2.438560906332979,-1.389125591751188,-0.0987160095625322
98,1,0,False,-0.7382603008036664,2.4227655763236013,-0.7382603008036664,0.635551932268122
99,1,0,False,-2.7254419611620575,7.746598845364088,-2.725441961162057,-0.2724910233906276
100,1,0,False,-2.6897544742200585,7.695612395646194,-2.6897544742200585,-0.4464320633024469
101,1,0,False,-2.152569741262316,4.881940577727979,-2.1525697412623166,-0.3710723047970768
102,1,0,False,-1.1415921893929943,3.17214220505659,-1.1415921893929943,0.5841377236447347
103,1,0,False,-0.3946350169710143,6.036925068599684,-0.39463501697101433,1.6828845416816878
104,1,0,False,-0.8934786359460143,4.7908697098846815,-0.8934786359460143,1.230195551378916
105,1,0,False,-0.9601339425048169,4.154284911189335,-0.9601339425048169,0.7831190661529066
106,1,0,False,-0.1093455850982958,2.6354118198745775,-0.10934558509829573,0.49126505788349356
107,1,0,False,0.031514875892239426,3.90551961383046,0.03151487589223943,1.2329305357963538
108,1,0,False,-0.37015146554488704,4.069351892359488,-0.37015146554488704,1.2042766718464137
109,1,0,False,-0.6677386075130686,1.2356969653547016,-0.6677386075130687,-0.056635044189791595
110,1,0,False,-0.5933002632057136,1.828713049501336,-0.5933002632057136,0.39334058283349627
111,1,0,False,-1.6119724887626221,3.4920711075956588,-1.6119724887626221,0.15666724108103702
112,1,0,False,0.07317427578012345,2.2715848575023503,0.07317427578012348,0.6185961930045653
113,1,0,False,0.5283194546613423,2.495984041711279,0.5283194546613421,0.6110135238076926
