bloque,FPC,RMSE,R2,sd_ratio,CRPS,Cob95,Ancho,PIT_ks,PIT_forma,n
train,FPC 1,0.7325337779712651,0.4636755283955014,0.6592749962093419,0.41230061495279163,0.946236559139785,2.9347940759579765,0.021337634408602146,aproximadamente uniforme,279
train,FPC 2,0.6751633368761492,0.5455476405105153,0.7138834205150598,0.3834481867957722,0.956989247311828,2.7279626767040903,0.03797634408602152,aproximadamente uniforme,279
train,FPC 3,0.7201984661747716,0.48269495421905295,0.6533442459781252,0.4074430353207702,0.9498207885304659,2.958865005173136,0.02493691756272398,aproximadamente uniforme,279
train,FPC 4,0.7172608762828506,0.4841506689992371,0.6642754628419808,0.4087147440752567,0.967741935483871,2.9018616241713366,0.026185663082437305,aproximadamente uniforme,279
train,FPC 5,0.7004669448662342,0.5089459212735845,0.6927912015411003,0.39410467078547146,0.953405017921147,2.823440255481069,0.029526164874551952,aproximadamente uniforme,279
test,FPC 1,0.5495448204228175,0.3273648180345886,0.6606559147171739,0.31646263559312565,0.9916666666666667,2.914065272752196,0.18746666666666667,aproximadamente uniforme,120
test,FPC 2,0.7721683896995888,0.4502075317605886,0.708070612167822,0.4379998335605124,0.925,2.772240076350669,0.13113333333333332,U (subdispersion: intervalos demasiado angostos),120
test,FPC 3,0.8177401504358474,0.3957853723988599,0.6518424520320086,0.46072601579914896,0.925,2.9842701941604415,0.05242222222222215,aproximadamente uniforme,120
test,FPC 4,0.7415250397225529,0.5271764962754169,0.6687597295063268,0.42037169086616794,0.9333333333333333,2.932729066256434,0.06622222222222218,aproximadamente uniforme,120
test,FPC 5,0.710173647334786,0.5037125985804738,0.6912924628669105,0.3983687057542775,0.95,2.8285885324391224,0.060244444444444406,aproximadamente uniforme,120
