t,error_representacion,quiebre_idx,en_adaptacion,bloque
2,0.04984127834028866,0,False,train
3,0.07550818523668958,0,False,train
4,0.08656453724908435,0,False,train
5,0.062102345540818185,0,False,train
6,0.17752243194764775,0,False,train
7,0.09368360952901544,0,False,train
8,0.07833153450694089,0,False,train
9,0.04575292849221532,0,False,train
10,0.03527465120697391,0,False,train
11,0.09212983896411062,0,False,train
12,0.07667179598366237,0,False,train
13,0.09762922693046376,0,False,train
14,0.056745809545628405,0,False,train
15,0.0834315832734083,0,False,train
16,0.05361233286020608,0,False,train
17,0.07817753589979409,0,False,train
18,0.029644599356593533,0,False,train
19,0.019357047262629695,0,False,train
20,0.04291725215782313,0,False,train
21,0.023682917287029287,0,False,train
22,0.03560180303190238,0,False,train
23,0.02720307828538315,0,False,train
24,0.029035812734711498,0,False,train
25,0.06969828827995989,0,False,train
26,0.1952065388775808,0,False,train
27,0.11696867439418988,0,False,train
28,0.09162169929183842,0,False,train
29,0.042236083982619146,0,False,train
30,0.03840602309247839,0,False,train
31,0.022474794789616098,0,False,train
32,0.031018563053651745,0,False,train
33,0.03539633352048669,0,False,train
34,0.03407499453564163,0,False,train
35,0.05259838968496463,0,False,train
36,0.01770812378986367,0,False,train
37,0.09516211306897131,0,False,train
38,0.04028000937182489,0,False,train
39,0.015588186487621692,0,False,train
40,0.07275370578646725,0,False,train
41,0.11085355139673259,0,False,train
42,0.11219444642271005,0,False,train
43,0.028960336336254694,0,False,train
44,0.06748269315143941,0,False,train
45,0.055360702364683545,0,False,train
46,0.010421685654039522,0,False,train
47,0.06526204748969554,0,False,train
48,0.012607716677043374,0,False,train
49,0.03282835193132701,0,False,train
50,0.022796817377350568,0,False,train
51,0.037492451617336386,0,False,train
52,0.014984680782462307,0,False,train
53,0.015974771088965462,0,False,train
54,0.0388343086292862,0,False,train
55,0.03600315471964229,0,False,train
56,0.1014336299464865,0,False,train
57,0.0820843273990407,0,False,train
58,0.05317604475371345,0,False,train
59,0.0383660986903118,0,False,train
60,0.0387763115853348,0,False,train
61,0.10018040411731344,0,False,train
62,0.02402455661340035,0,False,train
63,0.06683875347374106,0,False,train
64,0.029238821114971877,0,False,train
65,0.10327335752160395,0,False,train
66,0.08711310311020455,0,False,train
67,0.0499090429439248,0,False,train
68,0.016921505767206645,0,False,train
69,0.07024324884217775,0,False,train
70,0.017350615457477524,0,False,train
71,0.07853038021661062,0,False,train
72,0.0988668340809645,0,False,train
73,0.07051709053266991,0,False,train
74,0.050051568140087765,0,False,train
75,0.020872306026421757,0,False,train
76,0.029241869378337972,0,False,train
77,0.044857369320210935,0,False,train
78,0.015242483602062366,0,False,train
79,0.013642433191016722,0,False,train
80,0.055613829214993686,0,False,train
81,0.0935029144940264,0,False,train
82,0.05152851579565589,0,False,train
83,0.031749158327709595,0,False,train
84,0.020662534212176214,0,False,train
85,0.06811142521951831,0,False,train
86,0.062056407991102014,0,False,train
87,0.03890145516423608,0,False,train
88,0.02931100948695146,0,False,train
89,0.06149709758892183,0,False,train
90,0.022819979398084955,0,False,train
91,0.04197404761785406,0,False,train
92,0.017499580685388105,0,False,train
93,0.03434959779370097,0,False,train
94,0.03605485825963313,0,False,train
95,0.08393964069485416,0,False,train
96,0.08835957877848716,0,False,train
97,0.07968918238894697,0,False,train
98,0.010881751809598996,0,False,train
99,0.05062020455677951,0,False,train
100,0.06731696172190738,0,False,train
101,0.04808322994025404,0,False,train
102,0.04568181271440159,0,False,train
