experiment_id,escenario_6_r01
escenario_id,6
bloque_del_anexo,2
objetivo_evaluacion,curva_verdadera
modo_residuo,ninguno
nivel,0.95
S_scores,45000
S_funcional,500
t_quiebre,280
T0,280
estrato_coincide_con_particion,True
M_retenidas,5
fpc_intercambiadas,"[1, 2]"
rmse_scores_train,0.7091246804342541
rmse_scores_test,0.7182304095231185
r2_scores_test,0.44084936340998554
crps_scores_test,0.4067857763146465
mise_train,1.0501564681510958
mise_test,0.9853846008776407
mise_truncamiento_train,0.05890926898593558
mise_truncamiento_test,0.07550319726508395
energy_test,5.749130758140467
cobertura_puntual_test,0.9541111111111111
cobertura_pre,0.9448765312074663
cobertura_post,0.9543220906857272
amplitud_cobertura_regimenes,0.009445559478260868
ancho_pre,3.985178565802597
ancho_post,3.9977294261555887
error_repr_pre,0.059053037210377725
error_repr_post,0.07503574689587678
razon_obsolescencia,1.2706500874554565
error_repr_test_base_reajustada,0.05455253256182675
fraccion_error_atribuible_a_obsolescencia,0.2774804970139418
