bloque,modelo,FPC1,FPC2,FPC3,FPC4,FPC5
test,FAR1,0.5474016766465079,0.7665886296929808,0.8229372628593806,0.7537981096485591,0.708185231586415
test,GBT,0.7432130016207349,0.8769757089463791,0.9857300700839826,0.7777477268235059,0.8154010352469198
test,RF,0.664512931114841,0.8684933056186998,0.9127203981817006,0.8337306573166552,0.7981120167471002
test,VAR,0.5462608888187606,0.7661409190609844,0.8230841354569995,0.7553196871217999,0.7080191680635339
test,media,0.8354081416086879,1.1540764893690305,1.0533014046624265,1.0835858481410443,1.0339073778314105
test,persistencia,0.5799225155433426,0.8293962449335833,0.9001553318838766,0.7975687971323089,0.7643529058812735
train,FAR1,0.7295622722580148,0.6637958974507004,0.7198441245000314,0.7080070613205961,0.6977097251537749
train,GBT,0.12140926458788133,0.11095557210132725,0.13020914945756015,0.11331996377507464,0.12414241794008132
train,RF,0.6565439980430199,0.6068610073477225,0.6334907526919331,0.6439246995544607,0.6339374847057773
train,VAR,0.7295503083784415,0.6637869858879156,0.7198375565513035,0.7079422509259357,0.6976989359695249
train,media,1.000267642759753,1.0015325548521836,1.0013353369014943,0.9986667333292273,0.999600348142107
train,persistencia,0.7991552589557701,0.7229312693809641,0.7861145653341083,0.777561982560359,0.759159013647422
