bloque,modelo,RMSE_scores,R2_scores,MISE,RMSE_func,MISE_rel_PSBP
train,PSBPM-FD,0.7091246804342541,0.4970029426795783,1.0501564681510958,1.0247714223918891,1.0
train,VAR,0.7037632075426242,0.5044537349305294,1.0387043087189327,1.0191684398169583,0.9890948065555167
train,FAR1,0.7037838161366234,0.5044245837598075,1.038767816918522,1.0191995962119107,0.9891552815433069
train,RF,0.6349515884685827,0.5967636561960484,0.8566525315238175,0.9255552557917963,0.8157379947695212
train,GBT,0.12000727357238494,0.9855569585363526,0.08609623290622498,0.29342159584158933,0.08198419522931273
train,media,1.0002805231969532,-1.0841993881882673e-05,2.0349308356590052,1.4265100194737523,1.9377406104460815
train,persistencia,0.7689844179757248,0.4082596384268222,1.230231033373897,1.1091578036392735,1.171474033331281
train,(truncamiento FPCA),,,0.05890926898593558,,0.05609570647091396
test,PSBPM-FD,0.7182304095231185,0.44084936340998554,0.9853846008776408,0.9926654022769408,1.0
test,VAR,0.7197649597044157,0.43962792410772805,0.9757324661158129,0.9877917119088482,0.9902047030639294
test,FAR1,0.7197821820867688,0.439337917934877,0.9770359215307032,0.9884512742319184,0.9915274915606538
test,RF,0.8155138617957993,0.26874390163549766,1.2753230520373253,1.1293020198500157,1.2942388696773306
test,GBT,0.8398135085443045,0.20163968043801933,1.408938649518265,1.1869872153979861,1.429836277391977
test,media,1.03205585232252,-0.16931102979332363,2.0283517359236622,1.4242021401204472,2.0584366085253354
test,persistencia,0.774279159074877,0.3525204588361729,1.118367086577628,1.057528763948115,1.1349549055074997
test,(truncamiento FPCA),,,0.07550319726508395,,0.0766230740746673
