kn,hs,condicion,lambda_kn,radio_espectral
1,0.9878478691810072,1.0,0.010780539632788232,0.9878478691810072
2,1.3423427486000234,102.6822286829503,0.00010498934208055681,0.9793484488534978
3,1.3647537375273253,173.153850523173,6.225988968894159e-05,0.9798165074746824
4,1.52736374610625,809.9956803864607,1.3309379165632933e-05,0.9799751520303303
5,2.055726721302258,1142.6543578592618,9.434646232816491e-06,0.9809367470493953
6,2.1019361460349786,1533.190080306647,7.031443635894162e-06,0.9809829084195162
7,2.3256941782163616,1896.8061467167809,5.683522088669145e-06,0.9816060291948994
8,3.0362163141100704,3004.812227138671,3.5877581751768857e-06,0.9818591304249351
9,3.0900938317624123,4324.286145063565,2.493021800857206e-06,0.9820087376621239
10,3.0999743080684836,5842.711435662879,1.8451261458824959e-06,0.982041900718193
