fpc_1,fpc_1_lag1,fpc_2_lag1,fpc_3_lag1
-0.19495027549108143,-0.18985092525717207,-0.002209976450118973,0.004985891855643157
-0.19619194879035076,-0.19495027549108143,-0.001332985675339919,0.005494973902008596
-0.20002179734486766,-0.19619194879035076,-0.0026491906547015673,0.0039938402355874335
-0.20405771504776501,-0.20002179734486766,0.001810414782403171,0.005792835314761629
-0.19075099302243784,-0.20405771504776501,0.004371115003443142,0.010823933559817336
-0.18716962361367528,-0.19075099302243784,0.0031761735031639177,0.004865337956823691
-0.17831422634521257,-0.18716962361367528,-0.001819615460364186,0.0002178490466037022
-0.17244577881216216,-0.17831422634521257,0.0015209371428192664,0.012552551954686584
-0.1868680454739979,-0.17244577881216216,-0.001296132518056231,0.010758715725630362
-0.20579490479241794,-0.1868680454739979,-0.0057969314485388545,-0.0032309699279966186
-0.20979931155508555,-0.20579490479241794,0.001800554821481391,-0.00526672246536513
-0.22079603210195728,-0.20979931155508555,-0.0016602418318351219,-0.007401415264364925
-0.22005261693981995,-0.22079603210195728,0.0023413671741556057,0.0011476620758839233
-0.22567439231990225,-0.22005261693981995,-0.003332661461306785,-0.00654530497010454
-0.22189235585913755,-0.22567439231990225,0.00039299036189209096,-0.0003161739664437593
-0.21651008623147466,-0.22189235585913755,-0.00020781712727576968,0.0006719309355978391
-0.20464024002534814,-0.21651008623147466,0.0009582995701979864,0.007113078345117425
-0.19185743307508976,-0.20464024002534814,0.0007440550085344226,0.010452109718807098
-0.1905563584180816,-0.19185743307508976,-0.0010447247703540931,0.010986198827903035
-0.19375333129168396,-0.1905563584180816,-0.0019297840310261928,0.009199346990743243
-0.19965723653363363,-0.19375333129168396,-3.8826732325821496e-05,0.005765288105957492
-0.20837039287617798,-0.19965723653363363,0.001171149213413826,0.0018802175834602966
-0.21465868774412344,-0.20837039287617798,-0.001896303378700093,-0.0006849365521846571
-0.21151103385452286,-0.21465868774412344,0.0014494820277611978,0.0047524451370853675
-0.20384420081574875,-0.21151103385452286,0.0029630749737405817,0.010400088282137558
-0.21046042869704878,-0.20384420081574875,-0.0037694433061577527,0.002984986790470407
-0.22761532396412967,-0.21046042869704878,-0.0034016274180626673,-0.002760436025795266
-0.23386076825609162,-0.22761532396412967,0.0005054100082718768,-0.004570688253578622
