t,regimen,p_regimen_0,p_regimen_1,p_regimen_2,p_max,modas_efectivas,z_lag,ambiguo,b_t_realizada,factor_volatil,sep_dinamica,sep_tendencia,separacion,sep_en_sd,bimodal,nivel_curva,bloque
1,1,0.4508249617446022,0.44102428683211303,0.10815075142328479,0.4508249617446022,2.442347455690616,-0.1391056613662691,1,0.0,1.0,,0.0,,,0,-0.17797762034067652,train
2,1,0.6587149877169414,0.30283462255609106,0.03845038972696757,0.6587149877169414,1.897199572831846,-0.2722396564043061,1,5.305592727938795e-05,1.0,0.26545401249811584,7.074123637251727e-05,0.26552475373448836,0.26552475373448836,0,0.8934175899227307,train
3,0,0.9955846558630936,0.004380674294415798,3.4669842490564484e-05,0.9955846558630936,1.008869986434739,-0.8246350532104076,0,0.00035370618186258637,1.0,1.1426732988814734,0.0002829649454900691,1.1429562638269635,1.1429562638269635,0,1.1826461732355278,train
4,1,0.6148536868803727,0.3358782375203261,0.04926807559930124,0.6148536868803727,2.0272191061055174,-0.24299803740927414,1,0.0004775033455144914,1.0,1.4132231118042848,0.0006366711273526552,1.4138597829316375,1.4138597829316375,1,-0.37846236607135425,train
5,2,0.011692296563142334,0.17048672102533832,0.8178209824115193,0.8178209824115193,1.4325958130455696,0.3967730534565662,0,0.0002829649454900691,1.0,0.45021718213521517,0.0011318597819602763,0.45134904191717545,0.45134904191717545,0,1.585264128735635,train
6,1,0.788657867464492,0.19602429469982652,0.015317837835681525,0.788657867464492,1.5136805108394733,-0.3704432562940744,0,0.0013263981819846985,1.0,1.82687992806283,0.0017685309093129313,1.828648458972143,1.828648458972143,0,0.2871758158594103,train
7,2,0.0032584567203144247,0.08356608098576108,0.9131754622939245,0.9131754622939245,1.189225617286072,0.5101429286209466,0,0.0006366711273526553,1.0,0.4374903787697633,0.002546684509410621,0.44003706327917397,0.44003706327917397,0,-0.005914234761033707,train
8,1,0.15701344472685907,0.481014178003931,0.36197237726920994,0.481014178003931,2.5836330868050914,0.08170208322423457,1,0.00259974043669001,1.0,0.07787994453182026,0.003466320582253346,0.08134626511407361,0.08134626511407361,0,-0.864032666445924,train
9,2,0.0016785027900694726,0.056180549334039105,0.9421409478758914,0.9421409478758914,1.122600758793539,0.56325077085268,0,0.0011318597819602763,1.0,1.0166744641827254,0.004527439127841105,1.0212019033105666,1.0212019033105666,0,1.6253227932972063,train
10,0,0.6377807135335818,0.3188200423915075,0.04339924407491069,0.6377807135335818,1.9596548133704206,-0.25813325051757446,1,0.007162550182717372,1.0,1.9191893505981383,0.005730040146173897,1.9249193907443123,1.9249193907443123,1,0.36037225316094956,train
11,0,0.9783270697670536,0.021310978040062878,0.0003619521928834857,0.9783270697670536,1.0443011946566072,-0.6750904796580176,0,0.008842654546564657,1.0,0.5924318291538264,0.007074123637251725,0.5995059527910781,0.5995059527910781,0,-0.7850841304346807,train
12,1,0.17699768549900824,0.4905430843449619,0.33245923015602985,0.4905430843449619,2.614448543950588,0.06171685680886707,1,0.006419767200805941,1.0,0.8688154571947584,0.008559689601074588,0.877375146795833,0.877375146795833,0,0.2447725958483049,train
13,1,0.40672602529791346,0.46277275935756546,0.13050121534452108,0.46277275935756546,2.5213352001989087,-0.11100624390250971,1,0.007640053528231863,1.0,0.3362789555742392,0.010186738037642484,0.3464656936118817,0.3464656936118817,0,0.6506887613285977,train
