M,metrica,bloque,banda,razon_vs_mejor
1,5. MPIW,train,FAR (IC del modelo AR),1.2636289164848802
1,5. MPIW,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.3087556975606816
1,5. MPIW,train,PSBPM-FD (predictiva bayesiana),1.0
1,5. MPIW,test,FAR (IC del modelo AR),1.2830518682472642
1,5. MPIW,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.3288722827787363
1,5. MPIW,test,PSBPM-FD (predictiva bayesiana),1.0
1,6. PICP puntual,train,FAR (IC del modelo AR),1.2061244033926748
1,6. PICP puntual,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.4410774545854688
1,6. PICP puntual,train,PSBPM-FD (predictiva bayesiana),54.05416904200164
1,6. PICP puntual,test,FAR (IC del modelo AR),1.4721444287505376
1,6. PICP puntual,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.6075732667153348
1,6. PICP puntual,test,PSBPM-FD (predictiva bayesiana),80.27284702339696
1,7. PICPB curva completa,train,FAR (IC del modelo AR),1.085294479183368
1,7. PICPB curva completa,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0720610973388751
1,7. PICPB curva completa,train,PSBPM-FD (predictiva bayesiana),2.9599559494003946
1,7. PICPB curva completa,test,FAR (IC del modelo AR),1.0903235653235652
1,7. PICPB curva completa,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.1037127276946281
1,7. PICPB curva completa,test,PSBPM-FD (predictiva bayesiana),3.602009792620653
1,8. Winkler,train,FAR (IC del modelo AR),1.0017521752255782
1,8. Winkler,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0464707848965695
1,8. Winkler,train,PSBPM-FD (predictiva bayesiana),1.3368443833068215
1,8. Winkler,test,FAR (IC del modelo AR),1.0056381371500425
1,8. Winkler,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0425137382550471
1,8. Winkler,test,PSBPM-FD (predictiva bayesiana),1.381716768012903
1,9. Winkler max promedio,train,FAR (IC del modelo AR),1.0218708472055553
1,9. Winkler max promedio,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0390744152970188
1,9. Winkler max promedio,train,PSBPM-FD (predictiva bayesiana),1.3262743272496562
1,9. Winkler max promedio,test,FAR (IC del modelo AR),1.0329668699935597
1,9. Winkler max promedio,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0346719631761536
1,9. Winkler max promedio,test,PSBPM-FD (predictiva bayesiana),1.331213153300233
1,10. Winkler max peor ventana,train,FAR (IC del modelo AR),1.0775495483547144
1,10. Winkler max peor ventana,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.1891528844280959
1,10. Winkler max peor ventana,train,PSBPM-FD (predictiva bayesiana),2.9406284240548763
1,10. Winkler max peor ventana,test,FAR (IC del modelo AR),1.128724134038836
1,10. Winkler max peor ventana,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.14803927834917
1,10. Winkler max peor ventana,test,PSBPM-FD (predictiva bayesiana),2.6545648082061244
2,5. MPIW,train,FAR (IC del modelo AR),1.0003618926213953
2,5. MPIW,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0158820923807426
2,5. MPIW,train,PSBPM-FD (predictiva bayesiana),1.0600992103196278
2,5. MPIW,test,FAR (IC del modelo AR),1.0000017104253032
2,5. MPIW,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.015516322107301
2,5. MPIW,test,PSBPM-FD (predictiva bayesiana),1.0511445410719598
2,6. PICP puntual,train,FAR (IC del modelo AR),1.2086983504078057
2,6. PICP puntual,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.374074685252716
2,6. PICP puntual,train,PSBPM-FD (predictiva bayesiana),24.959572770020664
2,6. PICP puntual,test,FAR (IC del modelo AR),1.5485539048052521
2,6. PICP puntual,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.514754624163214
2,6. PICP puntual,test,PSBPM-FD (predictiva bayesiana),52.03496888276139
2,7. PICPB curva completa,train,FAR (IC del modelo AR),1.07943582651916
2,7. PICPB curva completa,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0405723391834503
2,7. PICPB curva completa,train,PSBPM-FD (predictiva bayesiana),2.5027646119312785
2,7. PICPB curva completa,test,FAR (IC del modelo AR),1.036560008618832
2,7. PICPB curva completa,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0439008703714585
2,7. PICPB curva completa,test,PSBPM-FD (predictiva bayesiana),2.737390964992775
2,8. Winkler,train,FAR (IC del modelo AR),1.0043133875124104
2,8. Winkler,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.017491739857145
2,8. Winkler,train,PSBPM-FD (predictiva bayesiana),1.1127114576636439
2,8. Winkler,test,FAR (IC del modelo AR),1.006239478170486
2,8. Winkler,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.013192412792488
2,8. Winkler,test,PSBPM-FD (predictiva bayesiana),1.1206448705485605
2,9. Winkler max promedio,train,FAR (IC del modelo AR),1.0399685604955595
2,9. Winkler max promedio,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0435172948542706
2,9. Winkler max promedio,train,PSBPM-FD (predictiva bayesiana),1.0875122849397025
2,9. Winkler max promedio,test,FAR (IC del modelo AR),1.0456212664871867
2,9. Winkler max promedio,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0396661805822227
2,9. Winkler max promedio,test,PSBPM-FD (predictiva bayesiana),1.0681687593698845
2,10. Winkler max peor ventana,train,FAR (IC del modelo AR),1.0989152548544743
2,10. Winkler max peor ventana,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0739343092255749
2,10. Winkler max peor ventana,train,PSBPM-FD (predictiva bayesiana),1.8853370482912077
2,10. Winkler max peor ventana,test,FAR (IC del modelo AR),1.1167433063233299
2,10. Winkler max peor ventana,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0559734259545976
2,10. Winkler max peor ventana,test,PSBPM-FD (predictiva bayesiana),1.6220633617920739
3,5. MPIW,train,FAR (IC del modelo AR),1.0
3,5. MPIW,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.01859032747778
3,5. MPIW,train,PSBPM-FD (predictiva bayesiana),1.1731305360810556
3,5. MPIW,test,FAR (IC del modelo AR),1.0
3,5. MPIW,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.01859032747778
3,5. MPIW,test,PSBPM-FD (predictiva bayesiana),1.1644995059672754
3,6. PICP puntual,train,FAR (IC del modelo AR),1.5830110281493153
3,6. PICP puntual,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.727724525882859
3,6. PICP puntual,train,PSBPM-FD (predictiva bayesiana),17.987879790086435
3,6. PICP puntual,test,FAR (IC del modelo AR),1.6242351833338928
3,6. PICP puntual,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",2.1795202556309263
3,6. PICP puntual,test,PSBPM-FD (predictiva bayesiana),28.60949777599401
3,7. PICPB curva completa,train,FAR (IC del modelo AR),1.0457188644688644
3,7. PICPB curva completa,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0768704906204907
3,7. PICPB curva completa,train,PSBPM-FD (predictiva bayesiana),2.419050943912055
3,7. PICPB curva completa,test,FAR (IC del modelo AR),1.1135538167212375
3,7. PICPB curva completa,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0324235091203418
3,7. PICPB curva completa,test,PSBPM-FD (predictiva bayesiana),2.3944450848297003
3,8. Winkler,train,FAR (IC del modelo AR),1.0030443174413635
3,8. Winkler,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0209259120816747
3,8. Winkler,train,PSBPM-FD (predictiva bayesiana),1.1747706867178596
3,8. Winkler,test,FAR (IC del modelo AR),1.0046445550079453
3,8. Winkler,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.016690804829743
3,8. Winkler,test,PSBPM-FD (predictiva bayesiana),1.1790932847641575
3,9. Winkler max promedio,train,FAR (IC del modelo AR),1.039832316194165
3,9. Winkler max promedio,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0467918236445253
3,9. Winkler max promedio,train,PSBPM-FD (predictiva bayesiana),1.0861901328005839
3,9. Winkler max promedio,test,FAR (IC del modelo AR),1.0458981183491245
3,9. Winkler max promedio,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0458767920668341
3,9. Winkler max promedio,test,PSBPM-FD (predictiva bayesiana),1.0627587338527194
3,10. Winkler max peor ventana,train,FAR (IC del modelo AR),1.108955731344393
3,10. Winkler max peor ventana,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0977996555386926
3,10. Winkler max peor ventana,train,PSBPM-FD (predictiva bayesiana),1.84964856825922
3,10. Winkler max peor ventana,test,FAR (IC del modelo AR),1.1250505473835561
3,10. Winkler max peor ventana,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.082410486835266
3,10. Winkler max peor ventana,test,PSBPM-FD (predictiva bayesiana),1.5967338980644714
4,5. MPIW,train,FAR (IC del modelo AR),1.0
4,5. MPIW,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0101033326158309
