M,metrica,columna,bloque,modelo,pct_ventanas_ganadas,n_ventanas
3,2. RMSE (L^2),rmse_f,test,RF,0.6244343891402715,221
3,2. RMSE (L^2),rmse_f,test,GBT,0.1583710407239819,221
3,2. RMSE (L^2),rmse_f,test,PSBPM-FD,0.06334841628959276,221
3,3. E_max promedio por curva,linf_medio,train,FAR,0.0,540
3,3. E_max promedio por curva,linf_medio,train,RF,0.0,540
3,3. E_max promedio por curva,linf_medio,train,GBT,1.0,540
3,3. E_max promedio por curva,linf_medio,train,PSBPM-FD,0.0,540
3,3. E_max promedio por curva,linf_medio,test,FAR,0.09049773755656108,221
3,3. E_max promedio por curva,linf_medio,test,RF,0.5972850678733032,221
3,3. E_max promedio por curva,linf_medio,test,GBT,0.14027149321266968,221
3,3. E_max promedio por curva,linf_medio,test,PSBPM-FD,0.17194570135746606,221
3,4. E_max peor de la ventana,linf_max,train,FAR,0.0,540
3,4. E_max peor de la ventana,linf_max,train,RF,0.0,540
3,4. E_max peor de la ventana,linf_max,train,GBT,1.0,540
3,4. E_max peor de la ventana,linf_max,train,PSBPM-FD,0.0,540
3,4. E_max peor de la ventana,linf_max,test,FAR,0.2986425339366516,221
3,4. E_max peor de la ventana,linf_max,test,RF,0.3574660633484163,221
3,4. E_max peor de la ventana,linf_max,test,GBT,0.20361990950226244,221
3,4. E_max peor de la ventana,linf_max,test,PSBPM-FD,0.14027149321266968,221
4,1. MAE  (L^1),mae_f,train,FAR,0.0,540
4,1. MAE  (L^1),mae_f,train,RF,0.0,540
4,1. MAE  (L^1),mae_f,train,GBT,1.0,540
4,1. MAE  (L^1),mae_f,train,PSBPM-FD,0.0,540
4,1. MAE  (L^1),mae_f,test,FAR,0.06334841628959276,221
4,1. MAE  (L^1),mae_f,test,RF,0.8823529411764706,221
4,1. MAE  (L^1),mae_f,test,GBT,0.03619909502262444,221
4,1. MAE  (L^1),mae_f,test,PSBPM-FD,0.01809954751131222,221
4,2. RMSE (L^2),rmse_f,train,FAR,0.0,540
4,2. RMSE (L^2),rmse_f,train,RF,0.0,540
