metrica,bloque,columna,minimo,maximo,promedio,M
7. PICPB curva completa,train,picp_simultaneo,0.0,0.35,0.07981481481481481,4
7. PICPB curva completa,test,picp_simultaneo,0.0,0.25,0.10339366515837108,4
8. Winkler,train,winkler,2.700952342485538,4.005131251493062,3.1396838822078186,4
8. Winkler,test,winkler,2.7011705419217877,3.5464763432412623,3.0555206224072573,4
9. Winkler max promedio,train,winkler_max_medio,29.747069446513528,87.31309572907448,44.57315599983323,4
9. Winkler max promedio,test,winkler_max_medio,29.978161235840997,55.4323005828242,40.65030907380745,4
10. Winkler max peor ventana,train,winkler_max_glob,34.23571267313322,595.8529619345362,207.85511559362695,4
10. Winkler max peor ventana,test,winkler_max_glob,37.14560328932755,333.17213890197536,177.05556068655645,4
1. MAE  (L^1),train,mae_f,0.39456902858820797,0.5642330737113204,0.48011336312889186,5
1. MAE  (L^1),test,mae_f,0.4035257418136,0.5480217999220394,0.47291930238934615,5
2. RMSE (L^2),train,rmse_f,0.9824189035703772,1.7197844723443492,1.3649051732270592,5
2. RMSE (L^2),test,rmse_f,1.0491888521919601,1.644557615636443,1.3284987679229494,5
3. E_max promedio por curva,train,linf_medio,4.88766153924725,10.029570186640635,7.424499617241214,5
3. E_max promedio por curva,test,linf_medio,5.232920197359894,9.84913621603549,7.195491068263099,5
4. E_max peor de la ventana,train,linf_max,9.547009691449695,27.991787310587004,19.041775115306187,5
4. E_max peor de la ventana,test,linf_max,11.626582387493936,21.59610073425359,18.150543569300417,5
5. MPIW,train,mpiw,2.7653649475017144,3.352006635696803,2.9616475205001573,5
5. MPIW,test,mpiw,2.806694880645524,3.2485187380530487,2.9395117720420356,5
6. PICP puntual,train,picp,0.8985,0.971,0.9415212962962963,5
6. PICP puntual,test,picp,0.915,0.965,0.9379570135746607,5
7. PICPB curva completa,train,picp_simultaneo,0.05,0.5,0.26537037037037037,5
7. PICPB curva completa,test,picp_simultaneo,0.1,0.5,0.28597285067873296,5
8. Winkler,train,winkler,2.6862490613541965,4.026994131076065,3.154163780152305,5
8. Winkler,test,winkler,2.728504812153656,3.6728077067231744,3.0645738725314002,5
9. Winkler max promedio,train,winkler_max_medio,29.660603198780684,85.66903054005529,44.579062909882595,5
9. Winkler max promedio,test,winkler_max_medio,29.596910439192243,58.34613587148901,41.15336362670373,5
10. Winkler max peor ventana,train,winkler_max_glob,34.584436451822484,580.0613621514174,203.056823231375,5
10. Winkler max peor ventana,test,winkler_max_glob,35.948040514245164,346.86420204972785,182.4043978421997,5
1. MAE  (L^1),train,mae_f,0.39170999096839626,0.5599633147500195,0.478875231618594,6
1. MAE  (L^1),test,mae_f,0.4045525409743811,0.545062225649831,0.4728367872891848,6
2. RMSE (L^2),train,rmse_f,0.9692084815003086,1.710317831960212,1.3624916769119384,6
2. RMSE (L^2),test,rmse_f,1.070322635971385,1.6198444431268642,1.3288036399426995,6
3. E_max promedio por curva,train,linf_medio,4.817708908967631,10.123691357084324,7.405683480790762,6
3. E_max promedio por curva,test,linf_medio,5.35389649696528,9.594717115355554,7.187463379049912,6
4. E_max peor de la ventana,train,linf_max,9.716138609301321,27.95046550385652,19.11623498208999,6
4. E_max peor de la ventana,test,linf_max,12.36657041206368,21.36919357462412,18.14236573515799,6
5. MPIW,train,mpiw,2.7987545705191015,3.320154460354263,2.966355118722376,6
5. MPIW,test,mpiw,2.8264441102095534,3.2034739222600845,2.9528327179200287,6
6. PICP puntual,train,picp,0.9225,0.985,0.958560185185185,6
6. PICP puntual,test,picp,0.9375,0.9755,0.9559524886877827,6
7. PICPB curva completa,train,picp_simultaneo,0.05,0.75,0.3746296296296296,6
7. PICPB curva completa,test,picp_simultaneo,0.15,0.55,0.3604072398190046,6
8. Winkler,train,winkler,2.7107100183691286,4.087843882398874,3.1480106436659474,6
8. Winkler,test,winkler,2.7426548503704735,3.599351358204833,3.0516872186655233,6
9. Winkler max promedio,train,winkler_max_medio,29.55059395700415,87.86684549501952,44.69152093820108,6
9. Winkler max promedio,test,winkler_max_medio,29.438490394925488,55.90273992915454,40.382934850701105,6
10. Winkler max peor ventana,train,winkler_max_glob,35.38393889874812,552.1594617569979,207.00763729726552,6
10. Winkler max peor ventana,test,winkler_max_glob,35.112286085799084,305.9824352432846,168.0879802903432,6
