M,metrica,columna,banda,bloque,minimo,maximo,promedio
2,7. PICPB curva completa,picp_simultaneo,"PSBPM-FD (IC gaussiano, mismo mecanismo)",train,0.2,0.9,0.5101851851851852
2,7. PICPB curva completa,picp_simultaneo,PSBPM-FD (predictiva bayesiana),test,0.0,0.1,0.013574660633484163
2,7. PICPB curva completa,picp_simultaneo,PSBPM-FD (predictiva bayesiana),train,0.0,0.1,0.016111111111111114
2,8. Winkler,winkler,FAR (IC del modelo AR),test,2.3921907289191315,3.090094757871928,2.661921399399823
2,8. Winkler,winkler,FAR (IC del modelo AR),train,2.385967811725833,3.5267183133303326,2.759349466994719
2,8. Winkler,winkler,"PSBPM-FD (IC gaussiano, mismo mecanismo)",test,2.4310340146068734,2.995932832606333,2.6779542925867967
2,8. Winkler,winkler,"PSBPM-FD (IC gaussiano, mismo mecanismo)",train,2.4246370296172364,3.484877074881922,2.794358589475389
2,8. Winkler,winkler,PSBPM-FD (predictiva bayesiana),test,2.5643870443296044,3.5234733625215275,2.963495371157521
2,8. Winkler,winkler,PSBPM-FD (predictiva bayesiana),train,2.531652608307612,4.089732606042498,3.0553408595708453
2,9. Winkler max promedio,winkler_max_medio,FAR (IC del modelo AR),test,34.59003484332889,48.97028206569747,39.85909328816309
2,9. Winkler max promedio,winkler_max_medio,FAR (IC del modelo AR),train,34.59003484332889,73.80482720729967,42.73428648394169
2,9. Winkler max promedio,winkler_max_medio,"PSBPM-FD (IC gaussiano, mismo mecanismo)",test,34.805947562313214,47.471347335907694,39.59618016257164
2,9. Winkler max promedio,winkler_max_medio,"PSBPM-FD (IC gaussiano, mismo mecanismo)",train,34.805947562313214,76.65095555065156,42.83741215253721
2,9. Winkler max promedio,winkler_max_medio,PSBPM-FD (predictiva bayesiana),test,29.74343090057373,58.50901694821981,41.16497698675385
2,9. Winkler max promedio,winkler_max_medio,PSBPM-FD (predictiva bayesiana),train,29.33176589012146,89.97735022188283,45.118371136737544
2,10. Winkler max peor ventana,winkler_max_glob,FAR (IC del modelo AR),test,34.59003484332888,209.38732692654176,117.9408166877605
2,10. Winkler max peor ventana,winkler_max_glob,FAR (IC del modelo AR),train,34.59003484332888,484.7249803040394,150.59489830734057
2,10. Winkler max peor ventana,winkler_max_glob,"PSBPM-FD (IC gaussiano, mismo mecanismo)",test,34.80594756231321,191.78998730973328,110.56910504060403
2,10. Winkler max peor ventana,winkler_max_glob,"PSBPM-FD (IC gaussiano, mismo mecanismo)",train,34.80594756231321,456.31373692413786,147.39606049065478
2,10. Winkler max peor ventana,winkler_max_glob,PSBPM-FD (predictiva bayesiana),test,34.87340450286865,327.8269309019275,172.43448093184432
2,10. Winkler max peor ventana,winkler_max_glob,PSBPM-FD (predictiva bayesiana),train,35.77371120452881,615.3165710033377,209.1709240709388
3,5. MPIW,mpiw,FAR (IC del modelo AR),test,2.452319722359803,2.452319722359803,2.452319722359803
3,5. MPIW,mpiw,FAR (IC del modelo AR),train,2.452319722359803,2.452319722359803,2.452319722359803
3,5. MPIW,mpiw,"PSBPM-FD (IC gaussiano, mismo mecanismo)",test,2.4979091490786907,2.4979091490786915,2.497909149078691
3,5. MPIW,mpiw,"PSBPM-FD (IC gaussiano, mismo mecanismo)",train,2.4979091490786907,2.4979091490786915,2.497909149078691
3,5. MPIW,mpiw,PSBPM-FD (predictiva bayesiana),test,2.7271018289416045,3.1502034875512472,2.855725105161796
3,5. MPIW,mpiw,PSBPM-FD (predictiva bayesiana),train,2.677187098831404,3.24767953423116,2.8768911505341017
3,6. PICP puntual,picp,FAR (IC del modelo AR),test,0.919,0.991,0.9555542986425339
3,6. PICP puntual,picp,FAR (IC del modelo AR),train,0.9095,0.996,0.9546898148148149
3,6. PICP puntual,picp,"PSBPM-FD (IC gaussiano, mismo mecanismo)",test,0.9225,0.99,0.9576244343891402
3,6. PICP puntual,picp,"PSBPM-FD (IC gaussiano, mismo mecanismo)",train,0.908,0.9955,0.9542268518518519
3,6. PICP puntual,picp,PSBPM-FD (predictiva bayesiana),test,0.847,0.92,0.8839117647058824
3,6. PICP puntual,picp,PSBPM-FD (predictiva bayesiana),train,0.8295,0.933,0.8872037037037036
3,7. PICPB curva completa,picp_simultaneo,FAR (IC del modelo AR),test,0.1,0.75,0.4972850678733032
3,7. PICPB curva completa,picp_simultaneo,FAR (IC del modelo AR),train,0.25,0.9,0.5127777777777779
3,7. PICPB curva completa,picp_simultaneo,"PSBPM-FD (IC gaussiano, mismo mecanismo)",test,0.15,0.8,0.5244343891402715
3,7. PICPB curva completa,picp_simultaneo,"PSBPM-FD (IC gaussiano, mismo mecanismo)",train,0.3,0.85,0.5053703703703704
3,7. PICPB curva completa,picp_simultaneo,PSBPM-FD (predictiva bayesiana),test,0.0,0.15,0.05656108597285068
3,7. PICPB curva completa,picp_simultaneo,PSBPM-FD (predictiva bayesiana),train,0.0,0.25,0.05685185185185185
3,8. Winkler,winkler,FAR (IC del modelo AR),test,2.314276102367519,2.9197867905957002,2.568948436912039
3,8. Winkler,winkler,FAR (IC del modelo AR),train,2.3155911557222897,3.4630628759264726,2.6570141704709593
3,8. Winkler,winkler,"PSBPM-FD (IC gaussiano, mismo mecanismo)",test,2.3489860312293347,2.8716477735294372,2.597570887095658
3,8. Winkler,winkler,"PSBPM-FD (IC gaussiano, mismo mecanismo)",train,2.3545606660598466,3.4225298694526716,2.702531230619878
3,8. Winkler,winkler,PSBPM-FD (predictiva bayesiana),test,2.6602403540116146,3.577728068312046,3.0137606226605893
3,8. Winkler,winkler,PSBPM-FD (predictiva bayesiana),train,2.626564305651101,3.987109484657432,3.1054466627356683
3,9. Winkler max promedio,winkler_max_medio,FAR (IC del modelo AR),test,34.57793338478452,49.0635119899565,39.89052955729744
3,9. Winkler max promedio,winkler_max_medio,FAR (IC del modelo AR),train,34.57793338478452,74.74353718749452,42.566219026762305
3,9. Winkler max promedio,winkler_max_medio,"PSBPM-FD (IC gaussiano, mismo mecanismo)",test,34.859582464185365,48.01087911593644,39.86692844568371
3,9. Winkler max promedio,winkler_max_medio,"PSBPM-FD (IC gaussiano, mismo mecanismo)",train,34.859582464185365,76.11666960814105,42.814370561560324
3,9. Winkler max promedio,winkler_max_medio,PSBPM-FD (predictiva bayesiana),test,29.77258219718933,55.55255562423279,40.96468302049174
3,9. Winkler max promedio,winkler_max_medio,PSBPM-FD (predictiva bayesiana),train,29.360351753234863,88.06248391748525,44.84099321935521
