metrica,bloque,columna,minimo,maximo,promedio
1. MAE  (L^1),train,mae_f,0.6193074179393133,1.3233156982476892,1.0307199940364025
1. MAE  (L^1),test,mae_f,0.679972800422164,1.2351077473789058,0.9947593556002577
2. RMSE (L^2),train,rmse_f,0.8024245829162656,1.6903857241536364,1.3534451473331164
2. RMSE (L^2),test,rmse_f,0.8948631094637743,1.5836462122348602,1.302751676878434
3. E_max promedio por curva,train,linf_medio,1.9026447421350905,3.5723926920263325,2.856957265389339
3. E_max promedio por curva,test,linf_medio,2.0886922656666482,3.4523238282382356,2.898899615857569
4. E_max peor de la ventana,train,linf_max,4.0372023409408895,6.302939377126872,5.394157538984643
4. E_max peor de la ventana,test,linf_max,3.689971870645663,6.194642615574128,5.29108388164602
5. MPIW,train,mpiw,4.4340924124010925,4.821138268898524,4.64467015792943
5. MPIW,test,mpiw,4.468896461496604,4.815227605652286,4.668095069977661
6. PICP puntual,train,picp,0.8533333333333334,0.9848888888888889,0.9013273631840796
6. PICP puntual,test,picp,0.8595555555555555,0.9582222222222222,0.8993866338663388
7. PICPB curva completa,train,picp_simultaneo,0.0,0.4666666666666667,0.1390049751243781
7. PICPB curva completa,test,picp_simultaneo,0.0,0.3,0.10184501845018448
8. Winkler,train,winkler,4.649128578952938,8.57106540495741,6.941047845418448
8. Winkler,test,winkler,5.151204449532192,8.164585269721032,7.044738313337492
9. Winkler max promedio,train,winkler_max_medio,13.47267948809383,62.332464118060365,40.273388322180935
9. Winkler max promedio,test,winkler_max_medio,19.729691282213306,66.2175109221077,44.40169313685272
10. Winkler max peor ventana,train,winkler_max_glob,82.68104689643405,138.21686431398726,115.23209572680342
10. Winkler max peor ventana,test,winkler_max_glob,63.038965366538164,142.66948197900982,119.65524978610006
