bloque,objetivo,banda,winkler,picp,ee_picp,ace,mpiw,picp_simultaneo
test,curva_suavizada,FAR (IC del modelo AR),3.0356225992657717,0.9231555555555555,0.0017756297887725379,-0.02684444444444445,2.216799253304728,0.72
test,curva_suavizada,"PSBPM-FD (IC gaussiano, mismo mecanismo)",3.024967358559553,0.9234222222222223,0.0017728021977572999,-0.0265777777777777,2.2182441314087273,0.73
test,curva_suavizada,PSBPM-FD (predictiva bayesiana),2.637604753062984,0.9081333333333333,0.001925584265991,-0.04186666666666661,1.9424138970929812,0.5833333333333334
test,representacion_fpca,FAR (IC del modelo AR),2.848138903398531,0.9404444444444444,0.0015777436963802978,-0.00955555555555554,2.216799253304728,0.8333333333333334
test,representacion_fpca,"PSBPM-FD (IC gaussiano, mismo mecanismo)",2.836429523992341,0.9402222222222222,0.0015804977424389434,-0.009777777777777774,2.2182441314087273,0.83
test,representacion_fpca,PSBPM-FD (predictiva bayesiana),2.3991824822723955,0.9378222222222222,0.00160985439960534,-0.012177777777777732,1.9424138970929812,0.8133333333333334
train,curva_suavizada,FAR (IC del modelo AR),2.63818698750339,0.9481609195402299,0.0009703634247976237,-0.0018390804597701038,2.216799253304728,0.7816091954022989
train,curva_suavizada,"PSBPM-FD (IC gaussiano, mismo mecanismo)",2.638898065479878,0.9465325670498085,0.0009846393680593636,-0.0034674329501914736,2.218244131408728,0.7801724137931034
train,curva_suavizada,PSBPM-FD (predictiva bayesiana),2.353104314910852,0.9279310344827586,0.001131870503932637,-0.022068965517241357,1.8918250180039533,0.6551724137931034
train,representacion_fpca,FAR (IC del modelo AR),2.5095418658910598,0.9624329501915709,0.0008322494857062028,0.01243295019157098,2.216799253304728,0.8850574712643678
train,representacion_fpca,"PSBPM-FD (IC gaussiano, mismo mecanismo)",2.5113621801648613,0.9607088122605364,0.0008503705559816682,0.010708812260536438,2.218244131408728,0.8778735632183908
train,representacion_fpca,PSBPM-FD (predictiva bayesiana),2.1269627536019815,0.955287356321839,0.0009045799089921873,0.005287356321839076,1.8918250180039533,0.8505747126436781
