bloque,modelo,FPC1,FPC2
test,FAR1,1.2254666774184957,1.1075204482496646
test,GBT,1.1845228979712972,1.2053173010116356
test,RF,1.272672414172867,1.0991209659489514
test,VAR,1.2248161239383524,1.1076125024121688
test,media,1.527929348292853,1.1228768821473996
test,persistencia,1.9335976099342487,1.4429027521590634
train,FAR1,0.8521946555486974,0.993939724106512
train,GBT,0.38213784620317803,0.4468739251195972
train,RF,0.709195925414005,0.8320181571774591
train,VAR,0.8521891908142389,0.9939381538838029
train,media,1.0017735005937691,1.0010543260233096
train,persistencia,1.4719194917155294,1.3359763788706651
