M,grupo,n,sarle_modelo,sarle_oraculo,razon
2,deterministas,160,0.3077679864421575,0.3741716095509975,0.8225316367841918
2,ambiguos,239,0.33220964356101335,0.442467974180985,0.7508105963509303
2,bimodales,231,0.33303742634396716,0.442467974180985,0.7526814273065175
